time_s,aligned_time_s,ppg_bandpassed,filtered_final,stage_1,stage_2,reference_1,reference_2
104.0,108.5,16.874507336020148,0.0,0.0,0.0,-0.4112257968568608,0.11504115350029867
104.02,108.52,20.111869047131155,0.5798258874008588,0.5210652830576931,0.5798258874008588,-0.4079310181032872,0.02906358327257414
104.04,108.54,21.992909948699555,0.6338637433416964,0.5700267223695207,0.6338637433416964,-0.39677821138638547,-0.1009601924748689
104.06,108.56,22.019220608111883,0.6328725909312591,0.5689156949863513,0.6328725909312591,-0.3580276761662328,-0.2637763601385382
104.08,108.58,19.799091300178098,0.5629369869618842,0.5079768741661096,0.5629369869618842,-0.2727228985445581,-0.4381009664989616
104.1,108.6,15.232979732115092,0.4186739526443187,0.38543750287498035,0.4186739526443187,-0.1337082305605109,-0.5985103956285123
104.12,108.62,8.655006756573519,0.211175638137118,0.21041350521293906,0.211175638137118,0.04662155900842125,-0.7230011411115753
104.14,108.64,0.8697594983961724,-0.029260035548820812,0.0036176216217292763,-0.029260035548820812,0.23568608855185838,-0.7993599561930133
104.16,108.66,-6.943981109897021,-0.25958978038954955,-0.20415534914338562,-0.25958978038954955,0.3885499413719603,-0.8278144963215569
104.18,108.68,-13.441973328573965,-0.4364958960201268,-0.37672273287038976,-0.4364958960201268,0.46217050121471326,-0.818955519191324
104.2,108.7,-17.374174773899437,-0.5273259356953732,-0.4805740572272719,-0.5273259356953732,0.43112264158215,-0.7879105429703506
104.22,108.72,-17.82354890768813,-0.5145854276551474,-0.49269079789657216,-0.5145854276551474,0.2987842296759278,-0.7472663831958769
104.24,108.74,-14.374058808798038,-0.3947394264449462,-0.4036172702515116,-0.3947394264449462,0.09924807393113932,-0.7016879810428714
104.26,108.76,-7.1899789089117725,-0.1762119165397756,-0.21679429430065308,-0.1762119165397756,-0.11155098334185687,-0.6464686760887598
104.28,108.78,2.9932303441689143,0.12007555889980895,0.051285085589120025,0.12007555889980895,-0.27299637492356094,-0.5706464143799214
104.3,108.8,14.965948989143765,0.4610192487609403,0.37046445740765277,0.4610192487609403,-0.33944144297833756,-0.46338702270760884
