time_s,ref_bpm,fft_bpm,final_bpm,is_motion,used_adaptive
9.5,65.0,63.3544921875,63.3544921875,0.0,0.0
10.5,65.0,64.0869140625,64.0869140625,0.0,0.0
11.5,65.0,64.8193359375,64.8193359375,0.0,0.0
12.5,65.02912408014147,65.19970703125,65.19970703125,0.0,0.0
13.5,65.52912408014147,64.8193359375,64.8193359375,0.0,0.0
14.5,65.92920643813562,64.8193359375,64.8193359375,0.0,0.0
15.5,65.42920643813562,64.8193359375,64.8193359375,0.0,0.0
16.5,64.88757757247996,64.8193359375,64.8193359375,0.0,0.0
17.5,64.38757757247996,64.42480468750001,64.42480468750001,0.0,0.0
18.5,64.0,64.42480468750001,64.42480468750001,0.0,0.0
19.5,64.11591462948948,64.42480468750001,64.42480468750001,0.0,0.0
20.5,64.57897674806118,64.42480468750001,64.42480468750001,0.0,0.0
21.5,65.42849221624162,64.42480468750001,64.42480468750001,0.0,0.0
22.5,65.96543009766992,66.2841796875,66.2841796875,0.0,0.0
23.5,66.5,66.2841796875,66.2841796875,0.0,0.0
24.5,67.0,66.2841796875,66.2841796875,0.0,0.0
25.5,67.0,66.2841796875,66.2841796875,0.0,0.0
26.5,67.0,66.2841796875,66.2841796875,0.0,0.0
27.5,67.0,66.2841796875,66.2841796875,0.0,0.0
28.5,66.88838929346959,66.2841796875,66.2841796875,0.0,0.0
29.5,66.65462866713429,66.2841796875,66.2841796875,0.0,0.0
30.5,67.26623937366472,66.2841796875,66.2841796875,0.0,0.0
31.5,68.0,68.2841796875,68.2841796875,0.0,0.0
32.5,68.0,69.580078125,69.580078125,0.0,0.0
33.5,68.46543277365612,69.580078125,69.580078125,0.0,0.0
34.5,68.96543277365612,69.580078125,69.580078125,0.0,0.0
35.5,69.0,69.580078125,69.580078125,0.0,0.0
36.5,69.0,69.580078125,69.580078125,0.0,0.0
37.5,69.0,68.4814453125,68.4814453125,0.0,0.0
38.5,69.0,68.4814453125,68.4814453125,0.0,0.0
39.5,69.0,68.4814453125,68.4814453125,0.0,0.0
40.5,69.0,68.4814453125,68.4814453125,0.0,0.0
41.5,69.0,68.4814453125,68.4814453125,0.0,0.0
42.5,69.0,68.84765625,68.84765625,0.0,0.0
43.5,69.0,68.84765625,68.84765625,0.0,0.0
44.5,69.0,68.84765625,68.84765625,0.0,0.0
45.5,69.0,68.84765625,68.84765625,0.0,0.0
46.5,69.0,68.84765625,68.84765625,0.0,0.0
47.5,69.0,68.84765625,68.84765625,0.0,0.0
48.5,69.0,68.84765625,68.84765625,0.0,0.0
49.5,68.950652196305,68.84765625,68.84765625,0.0,0.0
50.5,68.450652196305,69.2138671875,69.2138671875,0.0,0.0
51.5,68.04533309439356,69.2138671875,69.2138671875,0.0,0.0
52.5,68.35113834144877,69.2138671875,69.2138671875,0.0,0.0
53.5,68.93840207339292,69.2138671875,69.2138671875,0.0,0.0
54.5,69.63259682633768,71.2138671875,71.2138671875,0.0,0.0
55.5,70.0,73.974609375,73.974609375,0.0,0.0
56.5,70.38988004551928,73.974609375,73.974609375,0.0,0.0
57.5,71.35532292370148,73.974609375,73.974609375,0.0,0.0
58.5,72.45175174718071,73.974609375,73.974609375,0.0,0.0
59.5,72.9863088689985,73.974609375,73.974609375,0.0,0.0
60.5,72.97167966916146,73.974609375,73.974609375,0.0,0.0
61.5,72.42191007145331,71.77734375,71.77734375,0.0,0.0
62.5,71.45023040229187,69.9462890625,69.9462890625,0.0,0.0
63.5,71.0,67.3828125,67.3828125,0.0,0.0
64.5,70.88830805224295,67.3828125,67.3828125,1.0,0.0
65.5,70.38830805224295,67.3828125,67.3828125,1.0,0.0
66.5,70.61394687738718,67.3828125,67.3828125,1.0,0.0
67.5,72.73041301793137,67.3828125,71.2841796875,1.0,1.0
68.5,74.5796433452625,69.3828125,71.4111328125,1.0,1.0
69.5,76.35965177802358,69.3828125,76.4111328125,1.0,1.0
70.5,79.35612753563134,69.3828125,81.41113281249999,1.0,1.0
71.5,81.46716993790646,69.3828125,86.41113281249999,1.0,1.0
