profile_id,record_id,scene,stability_pass,spectral_gate_pass,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,complete_window_evidence_pass,hr_band_share_delta_pass,prominence_db_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,visible_top3_rate_delta_pass,identity_sha256,result_sha256
p25-short-mid,jianpan3_LYX_0708,jianpan,True,False,172,0,-0.02446064193828812,-0.011627906976744186,-0.0345736634973276,0.956108094376775,-0.10790420159688839,True,False,True,True,True,True,cd86e5c82fedfdd654b893101fe79f0c772eca72258ec0ede2edb9a70b11ebe4,e45ddd8bdbb7d66df99f17a869d483fe963c48bf2e167dd6a14f61004f8490e9
p25-short-mid,kaihe1_LYX_0613,kaihe,True,True,199,0,0.06902914892381418,0.010050251256281407,-0.0060856453098353525,0.9973582865395529,-0.00011584028208307118,True,True,True,True,True,True,4938be61fbaaeb908ac09177738ec117506aa6f6b37fb6b4d80d93de5c723ad7,fb3b853af3d202d3808e91155aef5338565625f6b4d559cab0008b9c44dcd126
p25-short-mid,kaihe1_LYX_0617,kaihe,True,False,201,0,0.14164843276270211,0.004975124378109453,-0.021568599364896412,0.9685642372483301,-0.034801820827785296,True,False,True,True,True,True,e4bab62eea87cbb38e8bc6ecd2b1a43546edd46b0dd1f50cb7b0d1d9283df5c3,51a4123d31a0192ec4894f4831d6863eefa685f6614be03d1cfff9c23ac5d4a8
p25-short-mid,kaihe3_LYX_0613,kaihe,True,True,201,0,0.5838623029378578,-0.024875621890547265,-0.006027873631997804,0.9862235590941869,-0.08174505700815288,True,True,True,True,True,True,81ec21690d56651c0291884f343d29c8dd6ccf03ef647795b8d4eb416349901b,7decc18a5e2be5dcf0910f8b2c9cbfef0493f24a81aeb2faa3f6212309e21f64
p25-short-mid,run1_LYX_0708,run,True,True,226,0,-0.05901559070217732,0.008849557522123894,-0.003592765145186236,0.975545346840234,-0.00021526707111113597,True,True,True,True,True,True,2fa69f82bf9e257f123028ae4e16d6cefe2ccaf20b6f3b4e2ae326f106f8e4ad,cdd4d28bd183c05ebf27c9716b5ab2d2fa5d6fb02fcef60f97e9cb8ff119ad25
p25-short-mid,run2_LYX_0708,run,True,True,228,0,0.13404772476118343,0.0043859649122807015,0.0074136106238112676,1.0203767865993645,-0.033230603923298796,True,True,True,True,True,True,548837fcff619c927e098193c743a45a014e7700c320ff3f0b176e145691e9d5,7937c6f1ce86348ec65b264752b317e1028c363f4392d5dd9b6a6436bd3433a6
p25-short-mid,run3_LYX_0708,run,True,True,316,0,-0.11530221322909995,-0.0031645569620253164,-0.013730396096445274,0.9815110686196937,-0.013735041908632204,True,True,True,True,True,True,deca4aa492edd8c526ac3b0aa4c5b3dfc87c1eea3d129215794766f2ca81c77c,5b62c482a63b4841d98555c8391b5a5062c8e9c31a7366e04a9435be1d29be3b
p25-short-mid,xiezi2_LYX_0708,xiezi,True,False,164,0,-0.3510841905473654,0.006097560975609756,-0.046455758914577094,0.9289437363232388,-0.0011647554392200249,True,False,True,True,True,True,2f31b44e603283bdeda406892c373a7edbd5b82457eed967a0806ba9e4845ac9,006fdd89e6e599f2b1f3078d83130212543139039404fc57c36c6b839c9767b0
p25-short-mid,xiezi3_LYX_0708,xiezi,True,False,166,0,-0.34982875006350467,0.0,-0.02777801707387159,0.9567523672601745,0.01101666110626775,True,False,True,True,True,True,8d76a529955df0a2a182e299fc7db4a658267797ba9aba81b3920c3744dc969e,852a190428f2917ec61356bc3dd6d5fb8662794b242f49e864e8e112c3f85eaa
p25-short-mid,xiezi4_LYX_0708,xiezi,True,False,165,0,-0.0888887668157059,-0.03636363636363636,-0.025409363367291035,0.9477535691312137,-0.014366384847196573,True,False,True,True,True,True,f186842f6a5d3edd0600f4501884b886e22f5d6c9223987dd2fb9af0dfc4706b,b73428e1bbaf3c89e8d7e85513edf640c373b75feecdd1f0898703b6d880a610
