metric,hf_best_case,acc_best_case
target_aae,8.0995,8.3348
motion_aae,42.7825,34.1183
rest_aae,14.5229,17.5195
--- config ---,,
fs_target,100,100
max_order,12,20
spec_penalty_width,0.3,0.3
hr_range_hz,0.3333333333333333,0.6666666666666666
slew_limit_bpm,14,15
slew_step_bpm,7,5
hr_range_rest,0.6666666666666666,0.5
slew_limit_rest,5,6
slew_step_rest,4,4
smooth_win_len,9,9
time_bias,4,6
