case,method,total_aae,rest_aae,motion_aae
HF_best,LMS(HF),23.3577,14.6415,42.7825
HF_best,LMS(Acc),25.9091,14.6462,51.0093
HF_best,Pure FFT,28.5248,14.5270,59.7199
HF_best,Fusion(HF),23.2759,14.5229,42.7825
HF_best,Fusion(Acc),25.8240,14.5229,51.0093
ACC_best,LMS(HF),22.4775,17.4737,33.6288
ACC_best,LMS(Acc),22.7146,17.5976,34.1183
ACC_best,Pure FFT,31.1860,17.5236,61.6336
ACC_best,Fusion(HF),22.5383,17.5195,33.7229
ACC_best,Fusion(Acc),22.6607,17.5195,34.1183
