metric,hf_best_case,acc_best_case
target_aae,7.4568,4.0784
motion_aae,14.9070,56.4978
rest_aae,16.9248,16.7252
--- config ---,,
fs_target,25,25
max_order,16,12
spec_penalty_width,0.3,0.3
hr_range_hz,0.5833333333333334,0.4166666666666667
slew_limit_bpm,12,11
slew_step_bpm,7,9
hr_range_rest,0.3333333333333333,0.5
slew_limit_rest,5,6
slew_step_rest,5,5
smooth_win_len,9,9
time_bias,5,6
