case,method,total_aae,rest_aae,motion_aae
HF_best,LMS(HF),18.4944,20.1051,14.4425
HF_best,LMS(Acc),18.8703,20.0930,15.7944
HF_best,Pure FFT,32.9867,20.0893,65.4317
HF_best,Fusion(HF),18.4774,20.0813,14.4425
HF_best,Fusion(Acc),18.8601,20.0813,15.7881
ACC_best,LMS(HF),29.5060,20.8406,51.3048
ACC_best,LMS(Acc),19.4798,20.7661,16.2438
ACC_best,Pure FFT,33.2169,20.7661,64.5386
ACC_best,Fusion(HF),29.4562,20.7802,51.2819
ACC_best,Fusion(Acc),19.4786,20.7553,16.2667
