case,method,total_aae,rest_aae,motion_aae
HF_best,LMS(HF),16.2604,16.8735,14.8939
HF_best,LMS(Acc),14.3034,16.8418,8.6462
HF_best,Pure FFT,30.9249,16.9337,62.1051
HF_best,Fusion(HF),16.2999,16.9248,14.9070
HF_best,Fusion(Acc),14.3598,16.9248,8.6436
ACC_best,LMS(HF),21.1299,16.6727,31.0630
ACC_best,LMS(Acc),29.0164,16.6758,56.5183
ACC_best,Pure FFT,30.2104,16.7357,60.2397
ACC_best,Fusion(HF),21.1702,16.7252,31.0761
ACC_best,Fusion(Acc),29.0442,16.7252,56.4978
