metric,hf_best_case,acc_best_case
target_aae,12.3087,15.0720
motion_aae,54.7234,65.5687
rest_aae,27.6461,26.0242
--- config ---,,
fs_target,100,100
max_order,20,20
spec_penalty_width,0.3,0.3
hr_range_hz,0.4166666666666667,0.3333333333333333
slew_limit_bpm,15,8
slew_step_bpm,9,9
hr_range_rest,0.5,0.5
slew_limit_rest,6,5
slew_step_rest,3,4
smooth_win_len,9,5
time_bias,6,6
