metric,hf_best_case,acc_best_case
target_aae,7.7371,8.4351
motion_aae,47.0629,23.5394
rest_aae,3.7277,18.9501
--- config ---,,
fs_target,100,50
max_order,20,20
spec_penalty_width,0.3,0.3
hr_range_hz,0.3333333333333333,0.4166666666666667
slew_limit_bpm,13,11
slew_step_bpm,9,7
hr_range_rest,0.8333333333333334,0.4166666666666667
slew_limit_rest,5,7
slew_step_rest,5,3
smooth_win_len,7,9
time_bias,6,6
