t_center_s,t_pred_s,ref_bpm,final_bpm,pure_fft_bpm,motion_flag,segment
1.0,2.5,56.62620650726477,56.396484375,56.396484375,0,pre_rest
2.0,3.5,57.0,56.396484375,56.396484375,0,pre_rest
3.0,4.5,57.0,56.396484375,56.396484375,0,pre_rest
4.0,5.5,57.0,56.396484375,56.396484375,0,pre_rest
5.0,6.5,57.0,56.396484375,56.396484375,0,pre_rest
6.0,7.5,57.0,56.57958984375,56.57958984375,0,pre_rest
7.0,8.5,57.0,56.7626953125,56.7626953125,0,pre_rest
8.0,9.5,57.0,56.854248046875,56.854248046875,0,pre_rest
9.0,10.5,57.0,56.94580078125,56.94580078125,0,pre_rest
10.0,11.5,57.0,56.94580078125,56.94580078125,0,pre_rest
11.0,12.5,57.0,56.94580078125,56.94580078125,0,pre_rest
12.0,13.5,57.0,56.94580078125,56.94580078125,0,pre_rest
13.0,14.5,57.0,56.94580078125,56.94580078125,0,pre_rest
14.0,15.5,57.0,56.94580078125,56.94580078125,0,pre_rest
15.0,16.5,57.0,56.94580078125,56.94580078125,0,pre_rest
16.0,17.5,57.0,56.854248046875,56.854248046875,0,pre_rest
17.0,18.5,57.0,56.94580078125,56.94580078125,0,pre_rest
18.0,19.5,57.0,56.94580078125,56.94580078125,0,pre_rest
19.0,20.5,57.0,56.94580078125,56.94580078125,0,pre_rest
20.0,21.5,57.0,56.94580078125,56.94580078125,0,pre_rest
21.0,22.5,57.0,56.94580078125,56.94580078125,0,pre_rest
22.0,23.5,56.79042444153252,56.94580078125,56.94580078125,0,pre_rest
23.0,24.5,56.29042444153252,57.12890625,57.12890625,0,pre_rest
24.0,25.5,56.0,57.12890625,57.12890625,0,pre_rest
25.0,26.5,56.0,57.12890625,57.12890625,0,pre_rest
26.0,27.5,56.23043560219457,57.12890625,57.12890625,0,pre_rest
27.0,28.5,56.73043560219457,57.31201171875,57.31201171875,0,pre_rest
28.0,29.5,57.0,57.31201171875,57.31201171875,0,pre_rest
29.0,30.5,57.0,57.31201171875,57.31201171875,0,pre_rest
30.0,31.5,57.0,57.31201171875,57.31201171875,0,pre_rest
31.0,32.5,57.0,57.31201171875,57.31201171875,0,pre_rest
32.0,33.5,57.0,57.12890625,57.12890625,0,pre_rest
33.0,34.5,57.0,57.12890625,57.12890625,0,pre_rest
34.0,35.5,57.0,57.12890625,57.12890625,0,pre_rest
35.0,36.5,57.0,56.94580078125,56.94580078125,0,pre_rest
36.0,37.5,57.0,56.94580078125,56.94580078125,0,pre_rest
37.0,38.5,57.0,56.94580078125,56.94580078125,0,pre_rest
38.0,39.5,57.0,56.94580078125,56.94580078125,0,pre_rest
39.0,40.5,57.0,56.94580078125,56.94580078125,0,pre_rest
40.0,41.5,57.0,56.94580078125,56.94580078125,0,pre_rest
41.0,42.5,57.0,56.94580078125,56.94580078125,0,pre_rest
42.0,43.5,57.0,56.94580078125,56.94580078125,0,pre_rest
43.0,44.5,57.0,56.94580078125,56.94580078125,0,pre_rest
44.0,45.5,57.0,56.94580078125,56.94580078125,0,pre_rest
45.0,46.5,57.0,56.94580078125,56.94580078125,0,pre_rest
46.0,47.5,57.22633817534254,56.94580078125,56.94580078125,0,pre_rest
47.0,48.5,57.72633817534255,56.94580078125,56.94580078125,0,pre_rest
48.0,49.5,58.0,56.7626953125,56.7626953125,0,pre_rest
49.0,50.5,58.0,56.7626953125,56.7626953125,0,pre_rest
