t_center_s,t_pred_s,ref_bpm,final_bpm,pure_fft_bpm,motion_flag,segment
1.0,7.5,52.0,52.55126953125,52.55126953125,0,pre_rest
2.0,8.5,52.0,52.3681640625,52.3681640625,0,pre_rest
3.0,9.5,52.0,52.18505859375,52.18505859375,0,pre_rest
4.0,10.5,52.0,52.276611328125,52.276611328125,0,pre_rest
5.0,11.5,52.0,52.3681640625,52.3681640625,0,pre_rest
6.0,12.5,52.0,52.3681640625,52.3681640625,0,pre_rest
7.0,13.5,52.0,52.3681640625,52.3681640625,0,pre_rest
8.0,14.5,52.0,52.3681640625,52.3681640625,0,pre_rest
9.0,15.5,52.0,52.55126953125,52.55126953125,0,pre_rest
10.0,16.5,52.297978944770236,52.734375,52.734375,0,pre_rest
11.0,17.5,52.797978944770236,52.734375,52.734375,0,pre_rest
12.0,18.5,53.0,52.734375,52.734375,0,pre_rest
13.0,19.5,53.0,52.734375,52.734375,0,pre_rest
14.0,20.5,53.0,52.91748046875,52.91748046875,0,pre_rest
15.0,21.5,53.0,52.91748046875,52.91748046875,0,pre_rest
16.0,22.5,53.0,53.1005859375,53.1005859375,0,pre_rest
17.0,23.5,53.0,53.6005859375,53.6005859375,0,pre_rest
18.0,24.5,53.0,54.1005859375,54.1005859375,0,pre_rest
19.0,25.5,53.0,54.1005859375,54.1005859375,0,pre_rest
20.0,26.5,53.0,54.1005859375,54.1005859375,0,pre_rest
21.0,27.5,53.0,54.1005859375,54.1005859375,0,pre_rest
22.0,28.5,53.0,54.1005859375,54.1005859375,0,pre_rest
23.0,29.5,53.0,53.74853515625,53.74853515625,0,pre_rest
24.0,30.5,53.0,53.24853515625001,53.24853515625001,0,pre_rest
25.0,31.5,53.0,52.74853515625001,52.74853515625001,0,pre_rest
26.0,32.5,53.0,52.3681640625,52.3681640625,0,pre_rest
27.0,33.5,53.0,52.3681640625,52.3681640625,0,pre_rest
28.0,34.5,53.0,52.3681640625,52.3681640625,0,pre_rest
29.0,35.5,53.0,52.3681640625,52.3681640625,0,pre_rest
30.0,36.5,53.0,52.3681640625,52.3681640625,0,pre_rest
31.0,37.5,53.0,52.91748046875,52.91748046875,0,pre_rest
32.0,38.5,53.0,52.91748046875,52.91748046875,0,pre_rest
33.0,39.5,53.0,52.91748046875,52.91748046875,0,pre_rest
34.0,40.5,53.0,52.91748046875,52.91748046875,0,pre_rest
35.0,41.5,53.0,52.91748046875,52.91748046875,0,pre_rest
36.0,42.5,53.0,52.55126953125,52.55126953125,0,pre_rest
37.0,43.5,53.0,52.3681640625,52.3681640625,0,pre_rest
38.0,44.5,53.0,52.3681640625,52.3681640625,0,pre_rest
39.0,45.5,53.0,52.3681640625,52.3681640625,0,pre_rest
40.0,46.5,53.0,52.18505859375,52.18505859375,0,pre_rest
41.0,47.5,53.0,52.001953125,52.001953125,0,pre_rest
42.0,48.5,53.0,52.001953125,52.001953125,0,pre_rest
43.0,49.5,53.0,52.001953125,52.001953125,0,pre_rest
44.0,50.5,52.71926435186274,51.81884765625,51.81884765625,0,pre_rest
45.0,51.5,52.21926435186275,51.81884765625,51.81884765625,0,pre_rest
46.0,52.5,52.0,51.81884765625,51.81884765625,0,pre_rest
47.0,53.5,52.0,51.81884765625,51.81884765625,0,pre_rest
48.0,54.5,52.0,51.81884765625,51.81884765625,0,pre_rest
49.0,55.5,52.0,51.81884765625,51.81884765625,0,pre_rest
50.0,56.5,52.29516123663378,51.81884765625,51.81884765625,0,pre_rest
51.0,57.5,52.79516123663378,52.001953125,52.001953125,0,pre_rest
52.0,58.5,53.0,52.55126953125,52.55126953125,0,pre_rest
53.0,59.5,53.295161759221465,53.05126953125,53.05126953125,0,pre_rest
54.0,60.5,53.79516175922147,53.55126953125,53.55126953125,0,pre_rest
55.0,61.5,54.0,54.05126953124999,54.05126953124999,0,pre_rest
56.0,62.5,53.7046103211288,54.05126953124999,54.05126953124999,0,pre_rest
57.0,63.5,53.20461032112879,54.05126953124999,54.05126953124999,0,pre_rest
58.0,64.5,53.0,54.05126953124999,54.05126953124999,0,pre_rest
59.0,65.5,53.0,54.05126953124999,54.05126953124999,0,pre_rest
60.0,66.5,53.28782827110465,54.11474609375,54.11474609375,0,pre_rest
61.0,67.5,53.787828271104644,54.11474609375,54.11474609375,1,motion
62.0,68.5,54.0,54.11474609375,54.11474609375,1,motion
63.0,69.5,54.0,54.11474609375,54.11474609375,1,motion
64.0,70.5,54.0,54.5654296875,54.38232421875,1,motion
65.0,71.5,54.0,54.5654296875,54.88232421875,1,motion
66.0,72.5,54.0,54.931640625,55.2978515625,1,motion
67.0,73.5,54.0,56.396484375,55.38232421875,1,motion
68.0,74.5,54.29525480809238,56.396484375,55.7978515625,1,motion
69.0,75.5,54.79525480809238,57.67822265625,55.88232421874999,1,motion
70.0,76.5,55.2993824385444,64.67822265625,56.2978515625,1,motion
71.0,77.5,55.799382438544406,71.67822265625,56.79785156249999,1,motion
72.0,78.5,56.293563629172375,79.833984375,57.29785156249999,1,motion
73.0,79.5,58.244611240547705,80.2001953125,57.79785156249999,1,motion
74.0,80.5,61.51245060440621,80.2001953125,58.297851562499986,1,motion
75.0,81.5,64.71031955977925,80.9326171875,58.797851562499986,1,motion
76.0,82.5,67.74695761841775,80.9326171875,59.297851562499986,1,motion
77.0,83.5,71.0335040938185,80.9326171875,59.797851562499986,1,motion
78.0,84.5,74.79947844465202,81.48193359375,60.297851562499986,1,motion
79.0,85.5,77.66350130782465,82.94677734375,60.79785156249998,1,motion
80.0,86.5,79.68526891654855,84.228515625,61.29785156249998,1,motion
81.0,87.5,81.94051269457998,85.87646484375,61.79785156249998,1,motion
82.0,88.5,84.41423118973675,87.70751953125,62.29785156249997,1,motion
83.0,89.5,87.24515125189541,88.9892578125,62.79785156249997,1,motion
84.0,90.5,89.67982711635884,90.63720703125,63.29785156249997,1,motion
85.0,91.5,91.69206491873683,92.83447265625,63.79785156249997,1,motion
86.0,92.5,93.98853729074793,94.482421875,64.29785156249997,1,motion
87.0,93.5,96.17920395485638,95.39794921875,64.79785156249997,1,motion
88.0,94.5,97.87905764595041,95.39794921875,65.29785156249997,1,motion
89.0,95.5,99.06321325562315,95.39794921875,65.79785156249996,1,motion
90.0,96.5,100.31735939424932,95.39794921875,66.29785156249996,1,motion
91.0,97.5,101.54464957257834,95.39794921875,66.79785156249996,1,motion
92.0,98.5,102.29523604414968,95.39794921875,67.29785156249996,1,motion
93.0,99.5,102.79523604414968,95.39794921875,67.79785156249996,1,motion
94.0,100.5,103.0,95.39794921875,68.29785156249996,1,motion
95.0,101.5,103.29510892506829,95.39794921875,68.79785156249996,1,motion
96.0,102.5,103.79510892506829,95.39794921875,69.29785156249994,1,motion
97.0,103.5,104.29304369642571,104.91943359375,69.79785156249994,1,motion
98.0,104.5,104.79304369642571,104.91943359375,70.29785156249994,1,motion
99.0,105.5,105.27935913962429,104.91943359375,70.79785156249994,1,motion
100.0,106.5,105.77935913962429,104.91943359375,71.29785156249994,1,motion
101.0,107.5,106.27911065896622,104.91943359375,71.79785156249994,1,motion
102.0,108.5,106.77911065896622,105.28564453125,72.29785156249994,1,motion
103.0,109.5,107.0,105.65185546875,72.79785156249994,1,motion
104.0,110.5,107.0,106.01806640625,73.29785156249994,1,motion
105.0,111.5,106.71262721886113,106.201171875,73.79785156249993,1,motion
106.0,112.5,106.21262721886112,106.201171875,74.29785156249993,1,motion
107.0,113.5,106.0,106.201171875,74.79785156249993,1,motion
108.0,114.5,106.29412995699373,106.38427734375,75.29785156249993,1,motion
109.0,115.5,107.09357504360548,106.38427734375,75.79785156249993,1,motion
110.0,116.5,107.79944508661175,106.38427734375,76.29785156249993,1,motion
