t_center_s,t_pred_s,ref_bpm,final_bpm,pure_fft_bpm,motion_flag,segment
1.0,-1.5,59.0,59.6923828125,59.6923828125,0,pre_rest
2.0,-0.5,59.0,59.783935546875,59.783935546875,0,pre_rest
3.0,0.5,59.0,59.87548828125,59.87548828125,0,pre_rest
4.0,1.5,59.0,59.87548828125,59.87548828125,0,pre_rest
5.0,2.5,59.0,59.87548828125,59.87548828125,0,pre_rest
6.0,3.5,59.0,59.783935546875,59.783935546875,0,pre_rest
7.0,4.5,59.5,59.6923828125,59.6923828125,0,pre_rest
8.0,5.5,59.5,59.6923828125,59.6923828125,0,pre_rest
9.0,6.5,59.0,59.6923828125,59.6923828125,0,pre_rest
10.0,7.5,59.0,59.87548828125,59.87548828125,0,pre_rest
11.0,8.5,59.5,59.87548828125,59.87548828125,0,pre_rest
12.0,9.5,61.0,60.05859375,60.05859375,0,pre_rest
13.0,10.5,62.50000000000001,60.05859375,60.05859375,0,pre_rest
14.0,11.5,63.0,60.05859375,60.05859375,0,pre_rest
15.0,12.5,62.50000000000001,59.87548828125,59.87548828125,0,pre_rest
16.0,13.5,61.49999999999999,59.6923828125,59.6923828125,0,pre_rest
17.0,14.5,61.0,59.326171875,59.326171875,0,pre_rest
18.0,15.5,61.0,58.9599609375,58.9599609375,0,pre_rest
19.0,16.5,61.0,59.326171875,59.326171875,0,pre_rest
20.0,17.5,60.5,59.6923828125,59.6923828125,0,pre_rest
21.0,18.5,61.0,60.24169921875,60.24169921875,0,pre_rest
22.0,19.5,62.00000000000001,59.6923828125,59.6923828125,0,pre_rest
23.0,20.5,62.00000000000001,59.326171875,59.326171875,0,pre_rest
24.0,21.5,61.49999999999999,58.59375,58.59375,0,pre_rest
25.0,22.5,61.0,58.2275390625,58.2275390625,0,pre_rest
26.0,23.5,61.0,57.861328125,57.861328125,0,pre_rest
27.0,24.5,61.0,57.861328125,57.861328125,0,pre_rest
28.0,25.5,60.5,57.861328125,57.861328125,0,pre_rest
29.0,26.5,60.0,57.861328125,57.861328125,0,pre_rest
30.0,27.5,60.0,57.861328125,57.861328125,0,pre_rest
31.0,28.5,59.5,57.4951171875,57.4951171875,0,pre_rest
32.0,29.5,59.0,57.31201171875,57.31201171875,0,pre_rest
33.0,30.5,59.0,57.12890625,57.12890625,0,pre_rest
34.0,31.5,58.5,57.12890625,57.12890625,0,pre_rest
35.0,32.5,58.0,56.94580078125,56.94580078125,0,pre_rest
36.0,33.5,58.0,56.94580078125,56.94580078125,0,pre_rest
37.0,34.5,58.0,56.94580078125,56.94580078125,0,pre_rest
38.0,35.5,58.0,56.94580078125,56.94580078125,0,pre_rest
39.0,36.5,58.0,56.7626953125,56.7626953125,0,pre_rest
40.0,37.5,58.0,56.7626953125,56.7626953125,0,pre_rest
41.0,38.5,58.0,56.7626953125,56.7626953125,0,pre_rest
42.0,39.5,58.0,56.7626953125,56.7626953125,0,pre_rest
43.0,40.5,59.5,56.7626953125,56.7626953125,0,pre_rest
44.0,41.5,61.99999999999999,56.7626953125,56.7626953125,0,pre_rest
45.0,42.5,63.0,56.94580078125,56.94580078125,0,pre_rest
46.0,43.5,62.50000000000001,57.67822265625,57.67822265625,0,pre_rest
47.0,44.5,62.00000000000001,58.2275390625,58.2275390625,0,pre_rest
48.0,45.5,61.49999999999999,58.2275390625,58.2275390625,0,pre_rest
49.0,46.5,60.5,58.2275390625,58.2275390625,0,pre_rest
50.0,47.5,59.5,58.2275390625,58.2275390625,0,pre_rest
