time_s,ref_bpm,fft_bpm,final_bpm,is_motion,used_adaptive
10.0,64.23355713366149,69.77734375,69.77734375,0.0,0.0
11.0,65.27513913091482,69.3125,69.3125,0.0,0.0
12.0,65.6832157531107,68.84765625,68.84765625,0.0,0.0
13.0,65.0,68.3125,68.3125,0.0,0.0
14.0,65.0,67.77734374999999,67.77734374999999,0.0,0.0
15.0,65.0,65.77734374999999,65.77734374999999,0.0,0.0
16.0,64.0,64.453125,64.453125,0.0,0.0
17.0,64.0,64.453125,64.453125,0.0,0.0
18.0,64.0,64.453125,64.453125,0.0,0.0
19.0,64.0,64.453125,64.453125,0.0,0.0
20.0,64.0,64.453125,64.453125,0.0,0.0
21.0,64.0,64.8193359375,64.8193359375,0.0,0.0
22.0,64.0,64.8193359375,64.8193359375,0.0,0.0
23.0,64.2733254734667,64.8193359375,64.8193359375,0.0,0.0
24.0,64.68513800380398,64.8193359375,64.8193359375,0.0,0.0
25.0,64.0,64.8193359375,64.8193359375,0.0,0.0
26.0,64.0,65.185546875,65.185546875,0.0,0.0
27.0,64.44148378775445,65.185546875,65.185546875,0.0,0.0
28.0,65.0,65.3544921875,65.3544921875,0.0,0.0
29.0,65.0,65.3544921875,65.3544921875,0.0,0.0
30.0,65.56589730079824,65.3544921875,65.3544921875,0.0,0.0
31.0,66.0,65.3544921875,65.3544921875,0.0,0.0
32.0,65.56676983405107,65.3544921875,65.3544921875,0.0,0.0
33.0,65.0,65.185546875,65.185546875,0.0,0.0
34.0,65.0,65.0166015625,65.0166015625,0.0,0.0
35.0,65.72503151468428,64.8193359375,64.8193359375,0.0,0.0
36.0,65.0,63.3544921875,63.3544921875,0.0,0.0
37.0,65.0,63.3544921875,63.3544921875,0.0,0.0
38.0,64.6002310562063,63.18554687499999,63.18554687499999,0.0,0.0
39.0,64.0,62.98828125,62.98828125,0.0,0.0
40.0,64.0,61.8896484375,61.8896484375,0.0,0.0
41.0,64.0,61.8896484375,61.8896484375,0.0,0.0
42.0,63.71680491017639,61.1572265625,61.1572265625,0.0,0.0
43.0,63.196570929741355,60.98828124999999,60.98828124999999,0.0,0.0
44.0,63.0,60.791015625,60.791015625,0.0,0.0
45.0,63.0,60.791015625,60.791015625,0.0,0.0
46.0,63.0,60.4248046875,60.4248046875,0.0,0.0
47.0,63.0,60.4248046875,60.4248046875,0.0,0.0
48.0,62.68465744458203,60.4248046875,60.4248046875,0.0,0.0
49.0,61.64255949962601,60.4248046875,60.4248046875,0.0,0.0
50.0,61.0,60.4248046875,60.4248046875,0.0,0.0
51.0,61.0,60.4248046875,60.4248046875,0.0,0.0
52.0,61.48158943790457,60.95996093750001,60.95996093750001,0.0,0.0
53.0,62.00000000000001,62.959960937500014,62.959960937500014,0.0,0.0
54.0,62.565379133854165,64.8193359375,64.8193359375,0.0,0.0
55.0,63.60647904607041,64.95996093750001,64.95996093750001,0.0,0.0
56.0,64.86423439784159,65.5517578125,65.5517578125,0.0,0.0
57.0,66.18985818963945,67.5517578125,67.5517578125,0.0,0.0
58.0,67.23148616000408,69.55175781250001,69.55175781250001,0.0,0.0
59.0,68.0,69.55175781250001,69.55175781250001,0.0,0.0
60.0,67.68465345296266,69.55175781250001,69.55175781250001,0.0,0.0
61.0,66.64209221962736,69.55175781250001,69.55175781250001,0.0,0.0
62.0,66.0,69.55175781250001,69.55175781250001,0.0,0.0
63.0,66.0,67.5517578125,67.5517578125,0.0,0.0
64.0,65.0,65.5517578125,65.5517578125,0.0,0.0
65.0,64.4761624754994,65.5517578125,65.5517578125,1.0,0.0
66.0,65.13061918467324,65.5517578125,65.5517578125,1.0,0.0
67.0,66.60596340778054,65.5517578125,65.91796875,1.0,1.0
68.0,67.8648029515858,65.5517578125,65.91796875,1.0,1.0
69.0,69.0,67.5517578125,67.8759765625,1.0,1.0
70.0,69.23202789083399,69.55175781250001,68.84765625,1.0,1.0
71.0,70.27484451556923,71.55175781250001,72.8759765625,1.0,1.0
72.0,71.94447934736743,73.55175781250003,73.6083984375,1.0,1.0
73.0,77.92255886644786,73.55175781250003,78.6083984375,1.0,1.0
74.0,86.19453277905608,73.55175781250003,83.60839843749999,1.0,1.0
75.0,88.88055258078542,73.55175781250003,88.60839843749999,1.0,1.0
76.0,90.9659892459328,73.55175781250003,93.60839843749999,1.0,1.0
77.0,92.5241063492476,73.55175781250003,95.947265625,1.0,1.0
78.0,94.12956454895622,71.55175781250001,96.6796875,1.0,1.0
79.0,95.60654214176168,71.55175781250001,97.0458984375,1.0,1.0
80.0,96.86434791907831,69.55175781250001,98.5107421875,1.0,1.0
81.0,98.18987115004651,67.5517578125,99.609375,1.0,1.0
82.0,99.46335840372542,65.5517578125,99.609375,1.0,1.0
83.0,101.54886792275741,63.55175781249999,99.9755859375,1.0,1.0
84.0,103.31691441392177,61.551757812499986,100.7080078125,1.0,1.0
85.0,104.71733018783382,59.6923828125,100.7080078125,1.0,1.0
86.0,106.79929533549513,59.551757812499986,106.201171875,1.0,1.0
87.0,108.0,59.551757812499986,107.2998046875,1.0,1.0
88.0,108.48280104279556,57.6923828125,107.2998046875,1.0,1.0
89.0,109.52315408452904,57.6923828125,107.666015625,1.0,1.0
90.0,110.0,57.6923828125,109.86328125,1.0,1.0
91.0,110.60757090959827,57.6923828125,112.060546875,1.0,1.0
92.0,111.0,57.6923828125,113.1591796875,1.0,1.0
93.0,111.19208872081607,57.6923828125,113.1591796875,1.0,1.0
94.0,112.23229478561416,57.6923828125,113.525390625,1.0,1.0
95.0,113.0,57.69238281250001,113.525390625,1.0,1.0
96.0,113.31508749133208,57.69238281250001,113.525390625,1.0,1.0
97.0,114.35686767745663,59.6923828125,113.8916015625,1.0,1.0
98.0,115.79852348252312,59.69238281250001,114.2578125,1.0,1.0
99.0,117.88089397939676,59.69238281250001,114.990234375,1.0,1.0
100.0,119.0,57.69238281250001,116.455078125,1.0,1.0
101.0,119.52435616441204,57.69238281250001,117.1875,1.0,1.0
102.0,121.13228890784217,57.69238281250001,119.384765625,1.0,1.0
103.0,122.60810592856585,57.69238281250001,121.9482421875,1.0,1.0
104.0,123.86576767821961,57.69238281250001,124.51171875,1.0,1.0
105.0,125.19096595016804,57.69238281250001,125.6103515625,1.0,1.0
106.0,126.23244132539975,57.69238281250001,125.6103515625,1.0,1.0
107.0,127.27333543757234,57.69238281250001,125.6103515625,1.0,1.0
108.0,128.0,57.69238281250001,125.6103515625,1.0,1.0
109.0,128.0,57.69238281250001,126.3427734375,1.0,1.0
110.0,128.39904456842768,57.69238281250001,129.2724609375,1.0,1.0
111.0,129.87983758908538,57.69238281250001,131.8359375,1.0,1.0
112.0,131.48154355425376,57.69238281250001,131.8359375,1.0,1.0
113.0,132.0,57.69238281250001,131.8359375,1.0,1.0
114.0,132.0,55.69238281250001,131.8359375,1.0,1.0
115.0,132.0,53.69238281250001,132.9345703125,1.0,1.0
116.0,132.0,53.69238281250001,132.9345703125,1.0,1.0
117.0,132.0,53.69238281250001,132.9345703125,1.0,1.0
118.0,132.0,53.69238281250001,132.9345703125,1.0,1.0
119.0,132.0,52.734375,131.8359375,1.0,1.0
120.0,132.0,52.734375,131.8359375,1.0,1.0
121.0,132.0,52.734375,131.4697265625,1.0,1.0
122.0,132.0,52.734375,131.8359375,1.0,1.0
123.0,132.0,52.734375,133.6669921875,1.0,1.0
124.0,132.0,54.19921875,134.033203125,1.0,1.0
125.0,132.0,54.19921875,131.8359375,1.0,1.0
126.0,132.565695279471,54.19921875,131.4697265625,1.0,1.0
127.0,132.69631729372628,55.2978515625,131.4697265625,1.0,1.0
128.0,132.17571985610687,55.4951171875,131.8359375,1.0,1.0
129.0,132.0,56.19921875,132.9345703125,1.0,1.0
130.0,132.0,57.2978515625,132.9345703125,1.0,1.0
131.0,132.0,57.2978515625,131.8359375,1.0,1.0
132.0,131.68417218280385,57.4951171875,131.4697265625,1.0,1.0
133.0,130.28385016599486,57.4951171875,131.4697265625,1.0,1.0
134.0,128.60071667148694,57.4951171875,131.103515625,1.0,1.0
135.0,126.67475803901334,57.4951171875,130.37109375,1.0,1.0
136.0,124.51678117621537,57.4951171875,128.90625,1.0,1.0
137.0,122.95127589468544,57.4951171875,125.9765625,1.0,1.0
138.0,120.30075135363744,57.4951171875,123.046875,1.0,1.0
139.0,117.78432758409225,57.4951171875,121.2158203125,1.0,1.0
140.0,116.13574446793878,57.4951171875,118.2861328125,1.0,1.0
141.0,114.81012838130869,57.4951171875,115.72265625,1.0,1.0
142.0,113.76591466011826,57.4951171875,113.1591796875,1.0,1.0
143.0,112.7250266351376,57.4951171875,112.060546875,1.0,1.0
144.0,112.0,57.4951171875,111.6943359375,0.0,1.0
145.0,111.64084044375262,57.4951171875,111.6943359375,0.0,1.0
146.0,110.59937860695013,57.4951171875,110.595703125,0.0,1.0
147.0,109.5576601224553,57.4951171875,110.2294921875,0.0,1.0
148.0,108.51615752361708,57.4951171875,109.4970703125,0.0,1.0
149.0,108.0,57.4951171875,108.7646484375,0.0,1.0
150.0,107.71603371462348,57.4951171875,108.0322265625,0.0,1.0
151.0,107.19526412131849,57.4951171875,107.2998046875,0.0,1.0
152.0,107.0,57.4951171875,106.5673828125,0.0,1.0
153.0,106.61462491551211,57.4951171875,106.201171875,0.0,1.0
154.0,104.76594287165852,57.4951171875,105.8349609375,0.0,1.0
155.0,103.86242370450576,57.4951171875,105.1025390625,0.0,1.0
156.0,103.34185743251508,57.4951171875,103.6376953125,0.0,1.0
157.0,101.0,57.4951171875,101.806640625,0.0,1.0
158.0,100.60126457119068,57.4951171875,100.341796875,0.0,1.0
159.0,98.67972337984311,57.4951171875,98.876953125,0.0,1.0
160.0,96.35733724995919,57.4951171875,97.412109375,0.0,1.0
161.0,94.90525465913667,57.4951171875,93.017578125,0.0,1.0
162.0,92.43457816042796,57.4951171875,88.623046875,0.0,1.0
163.0,90.78676523436566,59.4951171875,87.890625,0.0,1.0
164.0,89.56716933813031,61.4951171875,87.5244140625,0.0,1.0
165.0,88.8082481512854,63.49511718750001,86.7919921875,0.0,1.0
166.0,88.0,65.49511718750001,85.693359375,0.0,1.0
167.0,87.45295047517092,67.49511718750001,84.228515625,0.0,1.0
168.0,85.68437632759827,69.49511718750003,82.763671875,0.0,1.0
169.0,84.64203211168922,71.49511718750003,80.56640625,0.0,1.0
170.0,82.80500132293596,71.974609375,77.2705078125,0.0,1.0
171.0,81.0,73.49511718750004,77.2705078125,0.0,1.0
172.0,80.51819282993674,73.974609375,77.2705078125,0.0,1.0
173.0,80.52356128413791,73.974609375,77.2705078125,0.0,1.0
174.0,80.71738206744003,75.974609375,77.2705078125,0.0,1.0
175.0,80.19667402947832,75.974609375,76.5380859375,0.0,1.0
176.0,80.0,75.974609375,76.5380859375,0.0,1.0
177.0,79.8093048160716,75.974609375,76.5380859375,0.0,1.0
178.0,79.0,75.974609375,76.5380859375,0.0,1.0
179.0,79.0,75.83398437499999,74.3408203125,0.0,1.0
180.0,75.79411887387032,73.83398437499999,73.83398437499999,0.0,0.0
181.0,71.0,71.83398437499997,71.83398437499997,0.0,0.0
182.0,71.0,71.83398437499997,71.83398437499997,0.0,0.0
183.0,71.88225170304456,71.83398437499997,71.83398437499997,0.0,0.0
184.0,73.0,71.83398437499997,71.83398437499997,0.0,0.0
185.0,73.0,71.83398437499997,71.83398437499997,0.0,0.0
186.0,73.0,70.34082031249999,70.34082031249999,0.0,0.0
187.0,72.39201928143275,70.34082031249999,70.34082031249999,0.0,0.0
188.0,72.0,70.34082031249999,70.34082031249999,0.0,0.0
189.0,71.81136925042149,70.34082031249999,70.34082031249999,0.0,0.0
190.0,71.0,68.4814453125,68.4814453125,0.0,0.0
191.0,71.0,68.34082031249999,68.34082031249999,0.0,0.0
192.0,70.68333482282962,66.4814453125,66.4814453125,0.0,0.0
193.0,69.64256308336587,64.48144531249999,64.48144531249999,0.0,0.0
194.0,68.6003761161074,63.720703125,63.720703125,0.0,0.0
195.0,68.0,63.720703125,63.720703125,0.0,0.0
196.0,67.51772380572145,63.720703125,63.720703125,0.0,0.0
197.0,67.0,63.720703125,63.720703125,0.0,0.0
198.0,67.0,63.720703125,63.720703125,0.0,0.0
199.0,66.39312629761748,63.720703125,63.720703125,0.0,0.0
200.0,66.0,63.720703125,63.720703125,0.0,0.0
201.0,66.0,63.720703125,63.720703125,0.0,0.0
202.0,66.0,63.720703125,63.720703125,0.0,0.0
203.0,65.7243662333584,63.720703125,63.720703125,0.0,0.0
204.0,65.0,63.720703125,63.720703125,0.0,0.0
205.0,65.0,63.88964843750001,63.88964843750001,0.0,0.0
206.0,65.0,63.88964843750001,63.88964843750001,0.0,0.0
207.0,65.0,63.3544921875,63.3544921875,0.0,0.0
208.0,65.0,62.6220703125,62.6220703125,0.0,0.0
209.0,65.0,62.6220703125,62.6220703125,0.0,0.0
210.0,65.0,62.6220703125,62.6220703125,0.0,0.0
211.0,64.0,62.45312499999999,62.45312499999999,0.0,0.0
212.0,64.0,62.255859375,62.255859375,0.0,0.0
213.0,64.0,62.255859375,62.255859375,0.0,0.0
214.0,63.76693519658516,62.255859375,62.255859375,0.0,0.0
215.0,63.0,62.255859375,62.255859375,0.0,0.0
216.0,62.23306480341484,62.255859375,62.255859375,0.0,0.0
217.0,61.46612960682968,62.07275390625,62.07275390625,0.0,0.0
218.0,60.69919441024452,62.255859375,62.255859375,0.0,0.0
219.0,59.932259213659364,62.43896484375,62.43896484375,0.0,0.0
220.0,59.165324017074205,62.6220703125,62.6220703125,0.0,0.0
