time_s,aligned_time_s,ppg_bandpassed,filtered_final,stage_1,stage_2,reference_1,reference_2
102.0,106.5,-44.00243100603054,0.0,0.0,0.0,1.9178416362994286,0.47110971902185333
102.02,106.52,-55.869912920574976,0.0,0.0,0.0,1.6885417236686333,0.33680325706308756
102.04,106.54,-62.60324218789227,-1.9197689161452953,-1.633101536844362,-1.9197689161452953,1.321478535021171,0.16170794218242462
102.06,106.56,-63.32631354208986,-1.7863468139588567,-1.5432791094314977,-1.7863468139588567,0.8786542627945005,-0.03478701466563197
102.08,106.58,-57.86614924388881,-1.6028624347068061,-1.3741443696080418,-1.6028624347068061,0.4292097186905836,-0.22668089389373616
102.1,106.6,-46.82844222881998,-1.33122938293229,-1.1220605833706019,-1.33122938293229,0.03335300538454218,-0.38694144958436383
102.12,106.62,-31.55176348583467,-0.9401636596543179,-0.7838845501910948,-0.9401636596543179,-0.2704066969520259,-0.49382014947297476
102.14,106.64,-13.919818720898792,-0.4500464649255682,-0.3777202735250222,-0.4500464649255682,-0.4707172777698656,-0.5355741352035103
102.16,106.66,3.9562066568809966,0.06596198456534147,0.05318391498009717,0.06596198456534147,-0.5800365167031298,-0.5119451682091365
102.18,106.68,20.12447437677731,0.5263729829369908,0.45479496837607875,0.5263729829369908,-0.6242623249651604,-0.4322209226297811
102.2,106.7,33.147103333743225,0.8847280786855563,0.7822491676741203,0.8847280786855563,-0.6296237279829507,-0.3111751825317692
102.22,106.72,42.314742574953776,1.1354400250921532,1.0121582863362888,1.1354400250921532,-0.6117055551826918,-0.16484790903206262
102.24,106.74,47.651523506600945,1.2944861409230843,1.1442156785843094,1.2944861409230843,-0.5702417421561728,-0.007708255389357188
102.26,106.76,49.71200297141816,1.381643621617709,1.195757656477201,1.381643621617709,-0.49109687306375793,0.14836127972134322
102.28,106.78,49.24765053252358,1.4124373419092227,1.1927065807828248,1.4124373419092227,-0.354411023807796,0.29382753994980115
102.3,106.8,46.868171163746595,1.3949926275097206,1.1589524234733595,1.3949926275097206,-0.145788353342656,0.4208940220943308
102.32,106.82,42.82013478152302,1.3279100928219467,1.1066039224465336,1.3279100928219467,0.13364950548383503,0.5230564378020536
102.34,106.84,36.9541543020016,1.2000654860107547,1.0303233005291608,1.2000654860107547,0.4620794776591529,0.5949223545586041
102.36,106.86,28.878546380637196,0.9951886998940793,0.9087579713133747,0.9951886998940793,0.7986262546217181,0.6322183013897572
102.38,106.88,18.234281761969157,0.7022770512234549,0.7146758117177289,0.7022770512234549,1.0914113712340767,0.6319451502135287
102.4,106.9,4.992561476943088,0.3281599703913355,0.4317609398686842,0.3281599703913355,1.2894083617605474,0.5926575967663512
