role,cohort,case_id,report_name,variant,adaptive_filter,ppg_input_transform,reference_groups_order,report_final_aae_bpm,reacquire_enable,penalty_confidence_enable,all_mae_bpm,motion_mae_bpm,motion_p90_abs_error_bpm,motion_longest_fail_gt10_windows,recovery_mae_bpm,reacquire_triggered_windows,penalty_confidence_min
main_repair,20260619TS,multi_bobi1_TS,multi_bobi1_TS-green-raw_bandpass-lms-full-HF-v2.json,legacy,lms,raw_bandpass,HF,2.9714639301518435,False,False,2.9455037989436548,8.049154945850798,26.483225323623127,13,0.5318277453961977,0,1.0
main_repair,20260619TS,multi_bobi1_TS,multi_bobi1_TS-green-raw_bandpass-lms-full-HF-v2.json,penalty_only,lms,raw_bandpass,HF,2.9714639301518435,False,True,2.9455037989436548,8.049154945850798,26.483225323623127,13,0.5318277453961977,0,0.003357174881876864
main_repair,20260619TS,multi_bobi1_TS,multi_bobi1_TS-green-raw_bandpass-lms-full-HF-v2.json,reacquire_only,lms,raw_bandpass,HF,2.9714639301518435,True,False,2.9455037989436548,8.049154945850798,26.483225323623127,13,0.5318277453961977,0,1.0
main_repair,20260619TS,multi_bobi1_TS,multi_bobi1_TS-green-raw_bandpass-lms-full-HF-v2.json,combined,lms,raw_bandpass,HF,2.9714639301518435,True,True,2.9455037989436548,8.049154945850798,26.483225323623127,13,0.5318277453961977,0,0.003357174881876864
safety_control,20260617,multi_kaihe1_klms,multi_kaihe1-green-raw_bandpass-klms-full-HF-v2.json,legacy,klms,raw_bandpass,HF,1.7894344086838023,False,False,1.7306927271654944,2.284352878477086,7.465760519990305,1,0.8980505000008232,0,1.0
safety_control,20260617,multi_kaihe1_klms,multi_kaihe1-green-raw_bandpass-klms-full-HF-v2.json,penalty_only,klms,raw_bandpass,HF,1.7894344086838023,False,True,1.7306927271654944,2.284352878477086,7.465760519990305,1,0.8980505000008232,0,0.014194139282394038
safety_control,20260617,multi_kaihe1_klms,multi_kaihe1-green-raw_bandpass-klms-full-HF-v2.json,reacquire_only,klms,raw_bandpass,HF,1.7894344086838023,True,False,1.7306927271654944,2.284352878477086,7.465760519990305,1,0.8980505000008232,0,1.0
safety_control,20260617,multi_kaihe1_klms,multi_kaihe1-green-raw_bandpass-klms-full-HF-v2.json,combined,klms,raw_bandpass,HF,1.7894344086838023,True,True,1.7306927271654944,2.284352878477086,7.465760519990305,1,0.8980505000008232,0,0.014194139282394038
safety_control,20260619TS,multi_kaihe1_TS_klms,multi_kaihe1_TS-green-raw_bandpass-klms-full-HF-v2.json,legacy,klms,raw_bandpass,HF,0.6706525387619594,False,False,0.6975006383355667,0.7279272986738607,1.4296938034189963,0,0.48236351941994937,0,1.0
safety_control,20260619TS,multi_kaihe1_TS_klms,multi_kaihe1_TS-green-raw_bandpass-klms-full-HF-v2.json,penalty_only,klms,raw_bandpass,HF,0.6706525387619594,False,True,0.6975006383355667,0.7279272986738607,1.4296938034189963,0,0.48236351941994937,0,0.01624298027222372
safety_control,20260619TS,multi_kaihe1_TS_klms,multi_kaihe1_TS-green-raw_bandpass-klms-full-HF-v2.json,reacquire_only,klms,raw_bandpass,HF,0.6706525387619594,True,False,0.6975006383355667,0.7279272986738607,1.4296938034189963,0,0.48236351941994937,0,1.0
safety_control,20260619TS,multi_kaihe1_TS_klms,multi_kaihe1_TS-green-raw_bandpass-klms-full-HF-v2.json,combined,klms,raw_bandpass,HF,0.6706525387619594,True,True,0.6975006383355667,0.7279272986738607,1.4296938034189963,0,0.48236351941994937,0,0.01624298027222372
safety_control,20260619TS,multi_bobi1_TS_klms,multi_bobi1_TS-green-raw_bandpass-klms-full-HF-v2.json,legacy,klms,raw_bandpass,HF,2.6661889887133556,False,False,2.6210285122856845,6.808655708524299,13.16015625,10,0.730915006369186,0,1.0
safety_control,20260619TS,multi_bobi1_TS_klms,multi_bobi1_TS-green-raw_bandpass-klms-full-HF-v2.json,penalty_only,klms,raw_bandpass,HF,2.6661889887133556,False,True,2.6210285122856845,6.808655708524299,13.16015625,10,0.730915006369186,0,0.0045274111436738665
safety_control,20260619TS,multi_bobi1_TS_klms,multi_bobi1_TS-green-raw_bandpass-klms-full-HF-v2.json,reacquire_only,klms,raw_bandpass,HF,2.6661889887133556,True,False,2.6210285122856845,6.808655708524299,13.16015625,10,0.730915006369186,0,1.0
safety_control,20260619TS,multi_bobi1_TS_klms,multi_bobi1_TS-green-raw_bandpass-klms-full-HF-v2.json,combined,klms,raw_bandpass,HF,2.6661889887133556,True,True,2.6210285122856845,6.808655708524299,13.16015625,10,0.730915006369186,0,0.0045274111436738665
