Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,7897,1,0,0,0,818.93921,888.74817,1584.32007,1715.39307,-0.02258,0.16175,0.98318,-0.403,0.07,-0.105,7182,76662,109134
0.01,1,7898,1,0,0,0,818.93921,888.74817,1584.39636,1715.85083,-0.02515,0.16334,0.98489,-0.403,0.228,-0.158,7178,76665,109135
0.02,2,7899,1,0,0,0,818.93921,888.74817,1584.39636,1715.39307,-0.02686,0.16211,0.98502,-0.543,0.315,-0.21,7178,76665,109135
0.03,3,7900,1,0,0,0,818.93921,888.74817,1584.39636,1715.31677,-0.02734,0.16163,0.98636,-0.63,0.123,-0.21,7179,76666,109133
0.04,4,7901,1,0,0,0,818.93921,888.74817,1584.09119,1715.39307,-0.02673,0.16163,0.98355,-0.473,0.14,-0.123,7179,76666,109133
0.05,5,7902,1,0,0,0,818.93921,888.74817,1584.39636,1715.16418,-0.02197,0.1648,0.98001,-0.543,0.14,-0.298,7180,76660,109130
0.06,6,7903,1,0,0,0,818.93921,888.74817,1584.47266,1715.16418,-0.02271,0.16565,0.98282,-0.84,0.228,0.053,7180,76660,109130
0.07,7,7904,1,0,0,0,818.93921,888.74817,1584.39636,1715.31677,-0.02234,0.16529,0.98453,-1.015,0.193,0.123,7177,76661,109128
0.08,8,7905,1,0,0,0,818.93921,888.74817,1584.39636,1715.24048,-0.02271,0.16492,0.98563,-1.26,0.28,0.0,7177,76661,109128
0.09,9,7906,1,0,0,0,818.93921,888.74817,1584.39636,1715.16418,-0.02307,0.16285,0.98575,-1.435,0.28,-0.018,7177,76664,109131
0.1,10,7907,1,0,0,0,818.93921,888.74817,1584.32007,1715.31677,-0.02503,0.15918,0.98428,-1.61,0.35,0.263,7177,76664,109131
0.11,11,7908,1,0,0,0,818.93921,888.74817,1584.32007,1715.16418,-0.02417,0.15882,0.98416,-1.295,0.333,0.158,7178,76667,109133
0.12,12,7909,1,0,0,0,818.93921,888.74817,1584.32007,1715.16418,-0.02368,0.16053,0.98379,-1.085,0.228,0.193,7178,76667,109133
0.13,13,7910,1,0,0,0,818.93921,888.74817,1584.47266,1715.08789,-0.02454,0.16492,0.98611,-1.068,0.21,0.14,7179,76663,109134
0.14,14,7911,1,0,0,0,818.93921,888.74817,1584.09119,1715.24048,-0.02466,0.16578,0.98477,-1.12,0.315,0.28,7179,76663,109134
0.15,15,7912,1,0,0,0,818.93921,888.74817,1584.32007,1715.24048,-0.0249,0.16346,0.98477,-1.82,0.245,0.263,7180,76665,109139
0.16,16,7913,1,0,0,0,818.93921,888.74817,1584.39636,1715.39307,-0.02503,0.16089,0.98453,-1.908,0.385,0.158,7180,76665,109139
0.17,17,7914,1,0,0,0,818.93921,888.74817,1584.39636,1715.16418,-0.02576,0.16016,0.98733,-1.873,0.315,0.123,7179,76668,109143
0.18,18,7915,1,0,0,0,818.93921,888.67188,1584.47266,1715.08789,-0.02539,0.15992,0.98721,-1.75,0.368,0.07,7179,76668,109143
0.19,19,7916,1,0,0,0,818.93921,888.67188,1584.32007,1716.00342,-0.02405,0.15979,0.98575,-1.61,0.315,0.14,7181,76668,109144
0.2,20,7917,1,0,0,0,818.93921,888.67188,1584.47266,1715.39307,-0.02393,0.15931,0.9866,-1.4,0.263,0.193,7181,76668,109144
0.21,21,7918,1,0,0,0,818.93921,888.67188,1584.39636,1715.39307,-0.02637,0.15967,0.98733,-1.225,0.263,0.228,7183,76667,109148
0.22,22,7919,1,0,0,0,818.93921,888.67188,1584.39636,1715.62195,-0.02539,0.15967,0.98526,-1.278,0.228,0.21,7183,76667,109148
0.23,23,7920,1,0,0,0,819.0155,888.67188,1584.54895,1715.39307,-0.02539,0.16053,0.98563,-1.453,0.333,0.088,7184,76669,109146
0.24,24,7921,1,0,0,0,819.0155,888.67188,1584.09119,1715.31677,-0.02625,0.16004,0.98758,-1.418,0.403,0.0,7184,76669,109146
0.25,25,7922,1,0,0,0,819.0155,888.67188,1584.39636,1715.54565,-0.02527,0.15821,0.98587,-1.383,0.455,-0.105,7182,76670,109149
0.26,26,7923,1,0,0,0,819.0155,888.67188,1584.39636,1715.31677,-0.02454,0.15674,0.98856,-1.225,0.35,-0.053,7182,76670,109149
0.27,27,7924,1,0,0,0,819.0155,888.67188,1584.39636,1715.39307,-0.02527,0.15516,0.98929,-1.05,0.28,-0.123,7182,76669,109151
0.28,28,7925,1,0,0,0,819.0155,888.97705,1584.54895,1715.69824,-0.02588,0.15516,0.98807,-0.595,0.21,-0.315,7182,76669,109151
0.29,29,7926,1,0,0,0,819.0155,888.97705,1584.24377,1715.39307,-0.02857,0.15455,0.9888,-0.333,0.263,-0.333,7184,76668,109152
0.3,30,7927,1,0,0,0,819.0155,888.97705,1584.32007,1715.39307,-0.02795,0.15491,0.98416,-0.263,0.333,-0.525,7184,76668,109152
0.31,31,7928,1,0,0,0,819.0155,888.97705,1584.39636,1715.46936,-0.026,0.15748,0.98184,-0.385,0.508,-0.893,7183,76670,109151
0.32,32,7929,1,0,0,0,819.0155,888.97705,1584.39636,1715.24048,-0.02429,0.15979,0.98135,-0.438,0.333,-0.823,7183,76670,109151
0.33,33,7930,1,0,0,0,819.0918,888.97705,1584.32007,1715.39307,-0.02539,0.16126,0.98526,-0.525,0.298,-0.823,7185,76670,109153
0.34,34,7931,1,0,0,0,819.0918,888.97705,1584.16748,1715.31677,-0.02698,0.16346,0.9866,-0.665,0.315,-0.963,7185,76670,109153
0.35,35,7932,1,0,0,0,819.0918,888.97705,1584.39636,1715.16418,-0.02576,0.16102,0.98807,-0.928,0.508,-0.998,7185,76670,109153
0.36,36,7933,1,0,0,0,819.0918,888.97705,1584.32007,1715.31677,-0.02441,0.16004,0.98514,-0.473,0.35,-1.033,7186,76672,109151
0.37,37,7934,1,0,0,0,819.0918,888.97705,1584.32007,1715.46936,-0.0249,0.1615,0.98599,-0.28,0.333,-0.875,7186,76672,109151
0.38,38,7935,1,0,0,0,819.0918,888.74817,1584.39636,1715.39307,-0.02466,0.1637,0.98526,-0.298,0.368,-0.7,7185,76674,109156
0.39,39,7936,1,0,0,0,819.0918,888.74817,1584.32007,1715.31677,-0.0249,0.16529,0.98343,-0.175,0.333,-0.595,7185,76674,109156
0.4,40,7937,1,0,0,0,819.0918,888.74817,1584.32007,1715.46936,-0.02332,0.16492,0.98306,-0.368,0.263,-0.438,7187,76671,109156
0.41,41,7938,1,0,0,0,819.0918,888.74817,1584.32007,1715.31677,-0.02197,0.16395,0.98233,-0.788,0.298,-0.315,7187,76671,109156
0.42,42,7939,1,0,0,0,819.0918,888.74817,1584.39636,1715.24048,-0.01917,0.16175,0.98331,-1.418,0.298,-0.35,7186,76671,109146
0.43,43,7940,1,0,0,0,818.86292,888.74817,1584.47266,1715.16418,-0.01978,0.16126,0.98587,-1.505,0.298,-0.28,7183,76669,109136
0.44,44,7941,1,0,0,0,818.86292,888.74817,1583.9386,1715.31677,-0.02063,0.16211,0.98575,-1.435,0.315,-0.315,7183,76669,109136
0.45,45,7942,1,0,0,0,818.86292,888.74817,1584.16748,1715.24048,-0.0249,0.15332,0.99124,-0.998,0.123,-0.245,7183,76669,109136
