timestamp_local,elapsed_seconds,hr_bpm
2026-05-17 11:31:35.440,1.437441,55
2026-05-17 11:31:35.921,1.918610,55
2026-05-17 11:31:36.880,2.877452,56
2026-05-17 11:31:38.320,4.317233,56
2026-05-17 11:31:38.799,4.797156,56
2026-05-17 11:31:39.760,5.757186,56
2026-05-17 11:31:40.721,6.719157,57
2026-05-17 11:31:41.559,7.557136,57
2026-05-17 11:31:42.519,8.516956,57
2026-05-17 11:31:43.541,9.538382,57
2026-05-17 11:31:44.529,10.527125,57
2026-05-17 11:31:45.519,11.516823,57
2026-05-17 11:31:46.540,12.537230,57
2026-05-17 11:31:47.530,13.527446,57
2026-05-17 11:31:48.552,14.549421,57
2026-05-17 11:31:49.539,15.536862,57
2026-05-17 11:31:50.531,16.528748,57
2026-05-17 11:31:51.519,17.517130,57
2026-05-17 11:31:52.541,18.538520,57
2026-05-17 11:31:53.589,19.587049,57
2026-05-17 11:31:54.520,20.517460,57
2026-05-17 11:31:55.541,21.538461,57
2026-05-17 11:31:56.530,22.527280,57
2026-05-17 11:31:57.520,23.517330,57
2026-05-17 11:31:58.540,24.537307,57
2026-05-17 11:31:59.530,25.527319,57
2026-05-17 11:32:00.520,26.517386,57
2026-05-17 11:32:01.600,27.597599,57
2026-05-17 11:32:02.560,28.557637,56
2026-05-17 11:32:03.552,29.549424,56
2026-05-17 11:32:04.540,30.537379,56
2026-05-17 11:32:05.560,31.557477,56
2026-05-17 11:32:06.520,32.517665,57
2026-05-17 11:32:07.541,33.538578,57
2026-05-17 11:32:08.530,34.527427,57
2026-05-17 11:32:09.520,35.517392,57
2026-05-17 11:32:10.541,36.538706,57
2026-05-17 11:32:11.560,37.557297,57
2026-05-17 11:32:12.520,38.517480,57
2026-05-17 11:32:13.570,39.567538,57
2026-05-17 11:32:14.530,40.527385,57
2026-05-17 11:32:15.520,41.517557,57
2026-05-17 11:32:16.540,42.537439,57
2026-05-17 11:32:17.530,43.527365,57
2026-05-17 11:32:18.552,44.549517,57
2026-05-17 11:32:19.540,45.537376,57
2026-05-17 11:32:20.530,46.527474,57
2026-05-17 11:32:21.519,47.517162,57
2026-05-17 11:32:22.541,48.538639,57
2026-05-17 11:32:23.530,49.527511,57
2026-05-17 11:32:24.520,50.517207,57
2026-05-17 11:32:25.541,51.538630,57
2026-05-17 11:32:26.560,52.557835,58
2026-05-17 11:32:27.520,53.517477,58
2026-05-17 11:32:28.540,54.537497,58
2026-05-17 11:32:29.530,55.527504,58
2026-05-17 11:32:30.520,56.517580,58
2026-05-17 11:32:31.540,57.537709,57
2026-05-17 11:32:32.530,58.527531,57
2026-05-17 11:32:33.552,59.549598,57
2026-05-17 11:32:34.570,60.567668,57
2026-05-17 11:32:35.560,61.558020,57
2026-05-17 11:32:36.552,62.549638,57
2026-05-17 11:32:37.541,63.538791,57
2026-05-17 11:32:38.530,64.528136,59
2026-05-17 11:32:39.520,65.517800,61
2026-05-17 11:32:40.541,66.539098,66
2026-05-17 11:32:41.590,67.587889,69
2026-05-17 11:32:42.520,68.517745,76
2026-05-17 11:32:43.540,69.537888,78
2026-05-17 11:32:44.530,70.527948,80
2026-05-17 11:32:45.520,71.517693,80
2026-05-17 11:32:46.540,72.538012,81
2026-05-17 11:32:47.530,73.527628,81
2026-05-17 11:32:48.552,74.550139,83
2026-05-17 11:32:49.540,75.537963,84
2026-05-17 11:32:50.530,76.527992,86
2026-05-17 11:32:51.520,77.517957,89
2026-05-17 11:32:52.541,78.538283,91
2026-05-17 11:32:53.530,79.528044,93
2026-05-17 11:32:54.520,80.517963,95
2026-05-17 11:32:55.542,81.539194,96
2026-05-17 11:32:56.560,82.558010,97
2026-05-17 11:32:57.520,83.517942,98
2026-05-17 11:32:58.540,84.538042,99
2026-05-17 11:32:59.530,85.527997,100
2026-05-17 11:33:00.520,86.517701,100
2026-05-17 11:33:01.541,87.538346,101
2026-05-17 11:33:02.530,88.528056,102
2026-05-17 11:33:03.553,89.550202,103
2026-05-17 11:33:04.540,90.538094,105
