Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,14005,1,0,0,0,836.25793,905.91431,1617.05017,1748.12317,-0.04627,-0.06384,0.99796,-2.013,0.49,-0.14,6681,73950,102443
0.01,1,14006,1,0,0,0,836.25793,905.91431,1616.82129,1747.81799,-0.04529,-0.06616,0.9971,-2.083,0.455,-0.21,6681,73950,102443
0.02,2,14007,1,0,0,0,836.25793,905.91431,1617.27905,1747.58911,-0.04724,-0.06494,0.99918,-1.61,0.578,-0.14,6684,73949,102443
0.03,3,14008,1,0,0,0,836.25793,905.91431,1616.97388,1747.51282,-0.0481,-0.06323,0.99649,-1.015,0.578,-0.245,6684,73949,102443
0.04,4,14009,1,0,0,0,836.25793,905.91431,1617.12646,1747.43652,-0.04602,-0.06091,0.99649,-1.103,0.438,-0.263,6683,73949,102439
0.05,5,14010,1,0,0,0,836.25793,905.91431,1617.12646,1747.7417,-0.04443,-0.06165,0.99747,-1.26,0.315,-0.28,6683,73949,102439
0.06,6,14011,1,0,0,0,836.25793,905.91431,1617.05017,1747.51282,-0.0437,-0.0625,0.99734,-1.47,0.403,-0.455,6683,73941,102420
0.07,7,14012,1,0,0,0,836.25793,905.91431,1617.20276,1747.58911,-0.04273,-0.06323,0.99747,-1.313,0.403,-0.455,6683,73941,102420
0.08,8,14013,1,0,0,0,836.25793,905.91431,1617.35535,1747.58911,-0.04187,-0.06275,0.99783,-1.278,0.333,-0.385,6679,73938,102401
0.09,9,14014,1,0,0,0,836.25793,905.91431,1617.27905,1747.7417,-0.04285,-0.05945,0.99881,-1.278,0.473,-0.385,6679,73938,102401
0.1,10,14015,1,0,0,0,836.25793,905.83801,1617.05017,1747.7417,-0.04236,-0.05676,0.99637,-1.278,0.385,-0.665,6677,73937,102389
0.11,11,14016,1,0,0,0,836.25793,905.83801,1617.35535,1747.66541,-0.0426,-0.05579,0.99551,-1.208,0.42,-0.368,6677,73937,102389
0.12,12,14017,1,0,0,0,836.25793,905.83801,1617.12646,1747.7417,-0.04175,-0.05615,0.99539,-1.435,0.473,-0.368,6671,73933,102390
0.13,13,14018,1,0,0,0,836.25793,905.83801,1617.05017,1747.66541,-0.04309,-0.0586,0.99771,-1.715,0.455,-0.455,6671,73933,102390
0.14,14,14019,1,0,0,0,836.25793,905.83801,1617.73682,1747.81799,-0.04505,-0.06189,1.00064,-1.89,0.56,-0.28,6669,73932,102383
0.15,15,14020,1,0,0,0,836.02905,905.83801,1617.05017,1747.81799,-0.04431,-0.06336,0.99857,-1.838,0.35,-0.228,6669,73932,102383
0.16,16,14021,1,0,0,0,836.02905,905.83801,1616.89758,1747.66541,-0.04419,-0.06262,0.99905,-1.628,0.42,-0.123,6665,73930,102380
0.17,17,14022,1,0,0,0,836.02905,905.83801,1617.27905,1747.7417,-0.04346,-0.0614,0.99893,-1.54,0.403,-0.28,6665,73930,102380
0.18,18,14023,1,0,0,0,836.02905,905.83801,1617.05017,1747.66541,-0.04431,-0.06055,0.9971,-1.593,0.508,-0.368,6663,73928,102375
0.19,19,14024,1,0,0,0,836.02905,905.83801,1617.05017,1747.58911,-0.04334,-0.05945,0.99551,-1.61,0.42,-0.245,6663,73928,102375
0.2,20,14025,1,0,0,0,836.02905,905.76172,1617.35535,1747.58911,-0.04456,-0.05969,0.99698,-1.628,0.403,-0.473,6661,73920,102367
0.21,21,14026,1,0,0,0,836.02905,905.76172,1616.745,1747.66541,-0.0437,-0.05994,0.99734,-1.82,0.473,-0.385,6661,73920,102367
0.22,22,14027,1,0,0,0,836.02905,905.76172,1617.05017,1747.58911,-0.04382,-0.06067,0.99905,-1.803,0.525,-0.525,6657,73920,102363
0.23,23,14028,1,0,0,0,836.02905,905.76172,1617.05017,1747.58911,-0.04212,-0.06201,0.99844,-1.733,0.455,-0.49,6657,73920,102363
0.24,24,14029,1,0,0,0,836.02905,905.76172,1616.97388,1747.58911,-0.04126,-0.06055,0.99466,-1.733,0.455,-0.438,6654,73918,102359
0.25,25,14030,1,0,0,0,836.18164,905.76172,1617.20276,1747.43652,-0.04089,-0.05982,0.996,-1.593,0.578,-0.578,6654,73918,102359
0.26,26,14031,1,0,0,0,836.18164,905.76172,1616.89758,1747.58911,-0.04199,-0.0575,0.9971,-1.54,0.438,-0.28,6654,73913,102352
