Time(s),SampleIndex,Seq,ValidFlag,InterpFlag,GapLen,MissingBefore,Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.0,0,9842,1,0,0,0,825.80566,907.2113,1598.43445,1751.17493,-0.08435,-0.09558,0.9921,-0.91,0.438,-0.49,6166,69680,100594
0.01,1,9843,1,0,0,0,825.80566,907.2113,1598.35815,1751.09863,-0.0846,-0.09204,0.99271,-0.77,0.403,-0.56,6166,69680,100594
0.02,2,9844,1,0,0,0,825.80566,907.2113,1598.73962,1751.25122,-0.0846,-0.08936,0.99344,-0.525,0.298,-0.665,6168,69680,100598
0.03,3,9845,1,0,0,0,825.80566,907.05872,1598.51074,1751.02234,-0.08399,-0.08875,0.996,-0.525,0.193,-0.718,6168,69681,100603
0.04,4,9846,1,0,0,0,825.80566,907.05872,1598.35815,1751.17493,-0.0824,-0.08777,0.99356,-0.508,0.21,-0.77,6168,69681,100603
0.05,5,9847,1,0,0,0,825.80566,907.05872,1598.89221,1751.25122,-0.08399,-0.08716,0.99527,-0.875,0.21,-0.858,6168,69681,100603
0.06,6,9848,1,0,0,0,825.80566,907.05872,1598.51074,1751.17493,-0.08179,-0.08948,0.99075,-0.875,0.315,-0.805,6170,69677,100603
0.07,7,9849,1,0,0,0,825.80566,907.05872,1598.58704,1751.17493,-0.08106,-0.08802,0.9921,-0.893,0.368,-0.858,6170,69677,100603
0.08,8,9850,1,0,0,0,826.03455,907.05872,1598.89221,1751.09863,-0.08142,-0.08545,0.99307,-1.4,0.385,-0.665,6175,69675,100605
0.09,9,9851,1,0,0,0,826.03455,907.05872,1598.28186,1751.25122,-0.08142,-0.08509,0.99271,-1.698,0.525,-0.595,6175,69675,100605
0.1,10,9852,1,0,0,0,826.03455,907.05872,1598.43445,1751.25122,-0.0813,-0.08509,0.99185,-1.995,0.508,-0.403,6176,69677,100603
0.11,11,9853,1,0,0,0,826.03455,907.05872,1598.73962,1751.17493,-0.0813,-0.08594,0.99332,-2.398,0.595,-0.263,6176,69677,100603
0.12,12,9854,1,0,0,0,826.03455,907.05872,1598.43445,1751.17493,-0.08081,-0.08789,0.99417,-2.835,0.735,-0.175,6181,69680,100612
0.13,13,9855,1,0,0,0,826.03455,906.98242,1598.51074,1751.02234,-0.08338,-0.09119,0.99515,-2.958,0.858,-0.07,6181,69680,100612
0.14,14,9856,1,0,0,0,826.03455,906.98242,1598.66333,1751.17493,-0.08545,-0.09033,0.99539,-2.923,0.91,-0.14,6184,69680,100613
0.15,15,9857,1,0,0,0,826.03455,906.98242,1598.35815,1751.02234,-0.08875,-0.08692,0.99942,-2.853,0.823,-0.175,6184,69680,100613
0.16,16,9858,1,0,0,0,826.03455,906.98242,1598.43445,1750.94604,-0.08826,-0.08496,0.98428,-3.22,0.613,-0.158,6185,69680,100612
0.17,17,9859,1,0,0,0,826.03455,906.98242,1598.51074,1751.09863,-0.08545,-0.10193,0.98563,-3.92,0.508,-0.193,6185,69680,100612
0.18,18,9860,1,0,0,0,825.88196,906.98242,1598.35815,1751.09863,-0.08301,-0.0896,0.9971,-2.503,0.508,-0.473,6188,69681,100615
0.19,19,9861,1,0,0,0,825.88196,906.98242,1598.12927,1751.25122,-0.08582,-0.09375,0.99686,-2.433,0.823,-0.42,6188,69681,100615
0.2,20,9862,1,0,0,0,825.88196,906.98242,1598.35815,1751.09863,-0.08606,-0.09619,0.99612,-2.52,0.648,-0.28,6190,69680,100608
0.21,21,9863,1,0,0,0,825.88196,906.98242,1598.43445,1750.86975,-0.0835,-0.0907,0.991,-2.433,0.543,-0.315,6190,69680,100608
0.22,22,9864,1,0,0,0,825.88196,906.98242,1598.35815,1751.02234,-0.0835,-0.09241,0.99014,-2.398,0.508,-0.21,6192,69682,100620
0.23,23,9865,1,0,0,0,825.88196,907.2876,1598.66333,1751.02234,-0.08545,-0.09436,0.99332,-2.013,0.56,-0.56,6192,69682,100620
