profile_id,record_id,scene,valid_window_count,invalid_window_count,prominence_db_delta_median,visible_top3_rate_delta,hr_band_share_delta_median,pulse_power_retention_median,residual_artifact_corr_delta_median,prominence_db_delta_pass,visible_top3_rate_delta_pass,hr_band_share_delta_pass,pulse_power_retention_pass,residual_artifact_corr_delta_pass,complete_window_evidence_pass,spectral_gate_pass,identity_sha256,audit_sha256,materialized_audit_sha256
p25-long-mid,xiezi4_LYX_0708,xiezi,165,0,-0.41337859645818753,-0.012121212121212121,-0.03449482612621246,0.0002025793259155585,-0.030397727302521743,True,True,False,False,True,True,False,5c353986b8455de0c09e30c5ce9c0cb994133d4a2521b396bb421377c6b80da0,116c743261808cbfc1dd4c9c829c86bd72a9935bb3d1b661417aa5baa32311b3,8ede854290dd43cbb8ff5dc4d150c26fa5194345b2a09956a9d7523801742dcb
p25-short-low,jianpan1_LYX_0708,jianpan,165,0,-0.25527488361090356,-0.006060606060606061,-0.020509723155374138,0.0014680947820197318,-0.019211655279927436,True,True,False,False,True,True,False,d2691ceeb9551e75ef5bed44c806704f3323bdfb57f9e5837e426e8120c1c1a3,e1b67f2fa011003ecb83d3099a89908465584d80457f7efbe77b58d1f5907abe,43a6fedf729ebdbcd3f88dea811a50fd3f78627d5bf56109016a9729e5fc91bf
p25-short-low,jianpan2_LYX_0708,jianpan,166,0,-0.13615737025676733,0.018072289156626505,-0.013864570074781313,0.0010403516218402656,-0.013367570271381378,True,True,True,False,True,True,False,b181f01a5ab58e4b015492a1d0ac929e2993c55d029dc34872bc4f53e343da27,142e2f5ed055465c1ee8e822f349344d68f6ae528849aa15e618b5183a2009fd,075b532213117bc4a18d6d70605dbb9d7707cbd30bf655adc1588ec787bef433
p25-short-low,jianpan3_LYX_0708,jianpan,172,0,0.038979836445153015,-0.005813953488372093,-0.010242740034442116,0.0004268657443025918,-0.08002745308367329,True,True,True,False,True,True,False,22db5388d53bcd2b24b49d8564c71eb95ca61519439d3c65b8b6d708522a80ec,42f7568a00796242b1267cd54fe287709c4d1dca9d9c184b249c2256c6c6417d,6e6614b5fb55b80e5fc97c895fce9597eec83cab13b03081086a929ef5dfe315
p25-short-low,kaihe1_LYX_0613,kaihe,199,0,0.06252514748462801,0.0,-0.002427823974520016,0.0009355301127931226,0.00010648288517411952,True,True,True,False,True,True,False,9cf02621931703d6ef65f63f269981c7aad16477178ba485c8592f4445bbc7af,cc8b3163e15889ead0a3c64285bbb6bbd20779a2cdf11f6e32a4f7aac1d67c33,49e07fd006ab947dea8ed6af00c48be8aebef9599eb5f9ae89240c4ca6491f5d
p25-short-low,kaihe1_LYX_0617,kaihe,201,0,0.10758005918454927,0.009950248756218905,-0.011689839906346755,0.0004359100973194287,-0.038381875705882376,True,True,True,False,True,True,False,25fce5d35765c001d99025bf70925f6b022b22e3a329c29ba8b37d5c5a6602ab,6e4696efb551cfc28cf2a53da478ddb1fe948ca7f284bd968f0642a39ca3bc88,14ba949b8b589a9cf4dbb126eae95eec09b90b4ce31e81ed30ce34f5f9924021
p25-short-low,kaihe3_LYX_0613,kaihe,201,0,0.2978526455718553,0.03482587064676617,-0.004009475009586594,0.001558832641114795,-0.06584536754533304,True,True,True,False,True,True,False,c082cf66c669a4f5678880abc2ff9a017f33a144311c8fbfeb53ef26cba83301,f86db554ea870caa0c0433171afab0d7579808e3c7dcebce14c309e31987e9e7,7deca3c44633f70d23fc42fcb797675e74bec77fca67213293d8b79ccc6c6364
p25-short-low,run1_LYX_0708,run,226,0,0.011645158726572014,0.01327433628318584,-0.0020342861147711437,0.0024161450431489937,-0.00014587639140925535,True,True,True,False,True,True,False,28e589cdf41325a303adc8b8574f873c23aaa97df34d78ed4b13603a0b8c90de,75c6e23d3b8664045510302bda0a77074404907f1a6d2bac9f59b7715bace62b,85a19e1c460ae858229c9bd3435923f606924a1e2a87df9000d279a663076155
p25-short-low,run2_LYX_0708,run,228,0,0.13682339673629618,0.0,0.008558884204525368,0.0005837265253069529,-0.022603587046749404,True,True,True,False,True,True,False,1a64e31f1c3273ad0b11201f1842c863323f6564a8ac954bbb7243320e37a7d6,83d30e5c614f69c39844acb24082273c40a0fe577fa0e8552693e3d7c7b8f2bb,3e0c89cfd8343baf948692df6cefa797ff50378e5b6a866a758fbc6c431f7c81
p25-short-low,run3_LYX_0708,run,316,0,-0.054868020602227396,-0.006329113924050633,-0.004990505111883592,0.0010224994245976937,-0.016077981698610813,True,True,True,False,True,True,False,d12146f6a2faddbea9332265e582495cc65e3d8de6ced3a7b5e886e0cbb450ec,0d74bebb3951df7c415abdd28cd69608716b145bc4a2dcd8a50ddebf7fac8cb5,a18f61f6becb212f934eb7f93cfefcf9fd30fd88178806afda9d153a49a40433
p25-short-low,xiezi2_LYX_0708,xiezi,164,0,-0.17135329147263345,0.012195121951219513,-0.024201858658999598,0.0004777210300535749,-0.000404597297691444,True,True,False,False,True,True,False,04901d800c9aaf87404329c83bbaba273245ab215d18b197bf798326df91459c,ffdd1f3e4bd0c1e9c694467d4e9860e60a4b33d78a5e7993dacf0af6eb8d7c1a,f40bc9f00243abf20d4e6cb332b9d5383501beec842963e4e89d2c5d4e197f6c
p25-short-low,xiezi3_LYX_0708,xiezi,166,0,-0.1840365646466413,0.012048192771084338,-0.017392694165362932,0.0003863785471799659,0.002904672304449102,True,True,True,False,True,True,False,dad1ee88eb62e362f4eb697972d07eb22b732393a5c18fce4250ed40b106be38,9f3a0a9844f12234f224096b1ada4701a770cdb661770f0b73a24d1e05dbf747,6187655f2c0dad3bf60f6a923eac09a356bac767d2c88edb1b6d52c9b9f2b6cf
p25-short-low,xiezi4_LYX_0708,xiezi,165,0,-0.03941039797309198,-0.01818181818181818,-0.014355432934128443,0.00027624071390583915,-0.02016064326182966,True,True,True,False,True,True,False,d6293ab6c83d43a788db820297230ca0c7614dcd71635dbd32a0b26ded770e6d,ccbc53ac1fff8bdbdcf021beeba7df1437ed2666dbeb9168e2558fbcfe87b1fc,b0db14e0d9bc02c5b90e06732917cd4889e24d49f6e8435cde02b673860f46d6
p25-short-mid,jianpan1_LYX_0708,jianpan,165,0,-0.5032064186521463,-0.006060606060606061,-0.04085981977487413,0.0014130434088819998,-0.018177683413751304,False,True,False,False,True,True,False,e6945d70e698294c3eb91d63c0a3ecce5af7deefe23b455739872f26dfa77564,f8dd82431424693ff200704d7a3a4c9a6d748674f338e74b71886da48dd5cee5,4bcf03ea1d742b48de238153c4d01d6592b6d1657cd7d433ec461e6a10cdd544
p25-short-mid,jianpan2_LYX_0708,jianpan,166,0,-0.29860228679296297,0.018072289156626505,-0.03179117133336676,0.0010081605420168796,-0.01514453584393965,True,True,False,False,True,True,False,42eff06c7fd5cf6c449a0a04b0f0f4058c9cbb2240686782313333584f3546aa,cc9394a9a710e07c38c107ccf77ee77d489c23716de31b92f989691808a81e41,1fc3f7551171e7658bdae620309e1b9a41943f63dc4ebf980b57dbb79e0fb042
p25-short-mid,jianpan3_LYX_0708,jianpan,172,0,-0.02446064193828887,-0.011627906976744186,-0.03457366349732777,0.00041141531491178853,-0.10790420159688817,True,True,False,False,True,True,False,1c038172b95147fcd803befcee10b283b3a7441b07364e6779aed62e72084cbb,60da62f9a4fabfc3023cbdd6cd9096e772b7916eadd88e2028b70338444db593,4c91dce99a3bbf87e8a93f57af495c85549dca6ba4f48917bfe4ecc8c0b12a17
p25-short-mid,kaihe1_LYX_0613,kaihe,199,0,0.06902914892381329,0.010050251256281407,-0.0060856453098353525,0.0009314725962474454,-0.00011584028208310587,True,True,True,False,True,True,False,6bec2d8c47e3ea7277f2fc97edc83dd84a5919e514ad03b1a2328d34d75bbadf,01d1aec1ae14dfff7fa70e5ee7535e8a32e8cb61a88e1727f7b3675413bf46c8,29d78e2b65eec16ea2b2201dec5508750d3d6d3a30b3823dd0a82453479bd0ba
p25-short-mid,kaihe1_LYX_0617,kaihe,201,0,0.14164843276270167,0.004975124378109453,-0.02156859936489619,0.0004193698761535859,-0.03480182082778552,True,True,False,False,True,True,False,99693c5196f6c9aeac1d7414a1ad6337bc8a59ca298e7da2f186a0e204b701b1,7bb3bd17405ca1e2d1743fd7746d5dd6f4af657189f1e2ea27a39f5035aff949,440bc416de634030121038ad4baa6220932ff0f9e02e82c1a12e337b44418224
p25-short-mid,kaihe3_LYX_0613,kaihe,201,0,0.5838623029378596,-0.024875621890547265,-0.006027873631997804,0.0014857015777041457,-0.08174505700815281,True,True,True,False,True,True,False,bde9c68c3f6db2e28928ead2c8018719992628af29893fd70f977b73c4bf972f,1be5fae237d4fd3d1ac6ee10d54b09e51f5ecf9080317183747f80194899dfb6,cba35b021463d9b5f9dc0bdaa192d69e367e7f026686c0fd5c7b6df818617885
p25-short-mid,run1_LYX_0708,run,226,0,-0.05901559070217455,0.008849557522123894,-0.0035927651451862185,0.0024047099096046846,-0.00021526707111094168,True,True,True,False,True,True,False,7b607e37ccc7a348c0e6b371917b2922b57591d33101aaae2cf531d3571eb054,454efc6f4325d9b8eefd79f5d6da2ccbd77582d0bd5607b03e22016cf0131d9c,7721c8d8754f73ea613d7dda82c7c6a793cca418227e6dcf6a445c182d6aae74
p25-short-mid,run2_LYX_0708,run,228,0,0.13404772476118088,0.0043859649122807015,0.00741361062381117,0.0005780561376204074,-0.03323060392329838,True,True,True,False,True,True,False,4fa3624aae1958a841d2ae847e4d15c83c899e8c552c993f4d9d50cde59cbff9,1fe6b9cec358731922fe245962b67fc41aca04ac8076734d342ec5769d28338f,7bba017ca2c467974d0d74a5765e1fde7ca2ae65dabe0af5346c083154dcff1d
p25-short-mid,run3_LYX_0708,run,316,0,-0.11530221322909906,-0.0031645569620253164,-0.013730396096445274,0.0009957418168694832,-0.013735041908632162,True,True,True,False,True,True,False,903053add57c377e04cb4a80e9bb8b933214bcc46c2969732abddd60fa2a3b51,8187c14a49643c425d4eff78011e736b65f44c2d931a3560a40aa31c6179faa8,319020eb4d85116c2fa37ebaf42d0d272068d6da9947636ce20b7e95c33213e3
p25-short-mid,xiezi2_LYX_0708,xiezi,164,0,-0.3510841905473632,0.006097560975609756,-0.046455758914577094,0.00047194144830586354,-0.001164755439220047,True,True,False,False,True,True,False,057dccb872711d01e498c6ceafc8b08ab49ece94b97a586c21bb0a746ab01ff6,27217553d3e623318839102c327c4111a91bcc92ceb173952695eb46c0c4157c,a2b16970a316f22969f8f439ffb46a87ab526c04bc36f66a72c52a56c490b845
p25-short-mid,xiezi3_LYX_0708,xiezi,166,0,-0.34982875006350644,0.0,-0.027778017073871702,0.00036200084586243784,0.011016661106267716,True,True,False,False,True,True,False,10c27b5cb74d620dd894c63b1e451a977260ed39927e2f5e4b050fce23d3d9f7,98eafafbe0de3582923edded9c69673f2040d90755e9bb1bc840a942f0905e59,8dfaf7675a4fcc53bcff51d6b63e8ca80e81031dbacfdba47373c549c144fbcf
p25-short-mid,xiezi4_LYX_0708,xiezi,165,0,-0.08888876681570457,-0.03636363636363636,-0.02540936336729105,0.0002628004489701297,-0.014366384847196517,True,True,False,False,True,True,False,8557fde4681a4405639e8604989be82f056fa8e79a73e7cbf1c3eacc7c174d39,b312ab90b24e0a04048de3bba970270a2768fc381cd8b16ddb47d84667fcf1b6,bb6aa617290f05046a545b055b56d5d0ab1d76cebec3655289151965d5671cd6
