acc_r5_mean,acc_total_aae_mean,adaptive_filter,dates,fft_r5_mean,fft_total_aae_mean,hf_motion_aae_mean,hf_r5_mean,hf_total_aae_mean,motion_label,motion_type,n,subjects
0.5381485871793529,16.388631078040458,klms,20260519/20260613/20260615,0.3897183645267679,28.215352916542628,5.576352906803195,0.6962542248581144,4.186626498076602,波比跳,bobi,6,LYX/TS
0.48736376506713197,20.67882533311401,lms,20260519/20260613/20260615,0.38149791413990763,29.477715027062892,12.682832266670559,0.6833279903771707,6.392983625255842,波比跳,bobi,7,LYX/TS
0.5308484612249148,16.557727884881945,klms,20260519/20260613/20260615,0.5828584487239244,9.041051877228703,4.762565509664938,0.7604231442772993,3.6457934530211964,俯卧撑,fuwo,6,LYX/TS
0.5643397369414304,16.093403066653753,lms,20260519/20260613/20260615,0.6045414095803084,10.85045916915171,6.024015124911271,0.725963463223849,4.032015044018499,俯卧撑,fuwo,7,LYX/TS
0.5644910604008376,18.071326284337367,klms,20260519/20260613/20260615,0.5044791143184754,25.591595415512177,3.9222313106611804,0.8017239283931666,3.1543081797400276,开合跳,kaihe,6,LYX/TS
0.575819904059659,18.777114895142002,lms,20260519/20260613/20260615,0.4198685376518062,30.058886507605678,12.66123890906022,0.7091573346898947,6.474383816378285,开合跳,kaihe,8,LYX/TS
0.6150821651972135,12.331803282767423,klms,20260613/20260615,0.6124511501179701,9.195986582650962,5.2593829731783,0.7467681770258853,3.7101010418422056,跳绳,tiaosheng,3,TS
0.5488009909629674,11.952524502113738,lms,20260512/20260607/20260613/20260615,0.5606635394252092,12.984367121503789,4.920167638187161,0.7434518599361054,3.742374595000179,跳绳,tiaosheng,12,LYX/TS
0.772816787732042,3.377457977540718,klms,20260613,0.6563196125907991,5.924644730366225,5.455116522276216,0.7671670702179176,3.4790220783253463,弯举,wanju,2,TS
0.7131073446327684,4.618810655884738,lms,20260613,0.6991121872477805,5.740879754654158,6.091491896133142,0.8181113801452784,3.1829470747480695,弯举,wanju,2,TS
