timestamp_local,elapsed_seconds,hr_bpm
2026-05-13 23:23:04.656,0.519777,54
2026-05-13 23:23:06.095,1.959123,54
2026-05-13 23:23:06.574,2.438718,54
2026-05-13 23:23:07.535,3.399102,53
2026-05-13 23:23:08.975,4.838774,53
2026-05-13 23:23:10.417,6.281214,52
2026-05-13 23:23:10.535,6.398791,52
2026-05-13 23:23:11.555,7.418928,52
2026-05-13 23:23:12.575,8.438740,52
2026-05-13 23:23:13.595,9.458746,52
2026-05-13 23:23:14.615,10.478755,52
2026-05-13 23:23:15.605,11.469106,52
2026-05-13 23:23:16.535,12.398795,52
2026-05-13 23:23:17.556,13.419972,52
2026-05-13 23:23:18.547,14.410861,52
2026-05-13 23:23:19.535,15.398799,52
2026-05-13 23:23:20.556,16.420047,52
2026-05-13 23:23:21.575,17.438761,52
2026-05-13 23:23:22.535,18.398791,52
2026-05-13 23:23:23.555,19.419000,52
2026-05-13 23:23:24.547,20.410870,52
2026-05-13 23:23:25.535,21.399413,53
2026-05-13 23:23:26.556,22.420179,53
2026-05-13 23:23:27.547,23.410893,53
2026-05-13 23:23:28.565,24.428856,53
2026-05-13 23:23:29.615,25.479182,53
2026-05-13 23:23:30.545,26.408781,53
2026-05-13 23:23:31.535,27.398814,53
2026-05-13 23:23:32.615,28.478896,53
2026-05-13 23:23:33.545,29.408847,53
2026-05-13 23:23:34.565,30.428806,53
2026-05-13 23:23:35.556,31.420027,53
2026-05-13 23:23:36.575,32.438929,53
2026-05-13 23:23:37.535,33.398778,53
2026-05-13 23:23:38.555,34.419672,53
2026-05-13 23:23:39.546,35.410564,53
2026-05-13 23:23:40.535,36.398896,53
2026-05-13 23:23:41.614,37.478290,53
2026-05-13 23:23:42.546,38.410248,53
2026-05-13 23:23:43.564,39.428339,53
2026-05-13 23:23:44.584,40.448093,53
2026-05-13 23:23:45.544,41.407848,53
2026-05-13 23:23:46.534,42.397755,53
2026-05-13 23:23:47.583,43.447516,53
2026-05-13 23:23:48.603,44.467667,53
2026-05-13 23:23:49.533,45.397556,53
2026-05-13 23:23:50.555,46.418727,53
2026-05-13 23:23:51.573,47.437417,53
2026-05-13 23:23:52.534,48.397895,53
2026-05-13 23:23:53.554,49.418462,53
2026-05-13 23:23:54.545,50.409412,53
2026-05-13 23:23:55.533,51.397529,53
2026-05-13 23:23:56.554,52.418431,53
2026-05-13 23:23:57.545,53.409318,53
2026-05-13 23:23:58.563,54.427178,53
2026-05-13 23:23:59.583,55.447394,52
2026-05-13 23:24:00.545,56.409230,52
2026-05-13 23:24:01.533,57.397422,52
2026-05-13 23:24:02.554,58.418247,52
