case_name,mode,hr_range_rest_bpm,slew_limit_rest_bpm,slew_step_rest_bpm,smooth_win_len,time_bias_s,objective,rest_all_mae,pre_rest_mae,post_rest_mae,pure_fft_rest_all_mae,pure_fft_pre_rest_mae,pure_fft_post_rest_mae,n_rest_all,n_pre_rest,n_post_rest,passed
multi_tiaosheng3,post_recovery_blend,15.0,25.0,12.0,13,-2.5,3.3219574259002758,2.7295050502466762,1.8522198016826925,3.3219574259002758,2.7295050502466762,1.8522198016826925,3.3219574259002758,129,52,77,False
multi_tiaosheng4,post_recovery_blend,100.0,1.0,0.5,9,6.5,1.2110509087271415,0.891663859331053,0.5030762825658119,1.2110509087271415,0.891663859331053,0.5030762825658119,1.2110509087271415,133,60,73,True
multi_tiaosheng5,post_recovery_blend,50.0,3.0,2.0,13,7.5,0.9073667593732185,0.7995858282808775,0.6284043494871596,0.9073667593732185,0.7995858282808775,0.6284043494871596,0.9073667593732185,132,51,81,True
multi_tiaosheng6,post_recovery_blend,60.0,1.5,4.0,41,1.5,1.5751757139576255,1.0707492534237677,0.34321108919224214,1.5751757139576255,1.0707492534237677,0.34321108919224214,1.5751757139576255,127,52,75,False
multi_tiaosheng7,post_recovery_blend,100.0,30.0,8.0,41,4.5,1.2878535694069593,1.1587468063621569,0.9840729504780125,1.2878535694069593,1.1587468063621569,0.9840729504780125,1.2878535694069593,120,51,69,True
