Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.663,880.43213,944.51904,1700.97351,1820.60242,-0.04236,0.02087,0.9993,-1.015,0.245,-0.228,6864,58111,82956
0.693,880.43213,944.51904,1700.74463,1820.60242,-0.04334,0.02173,0.99637,-0.368,0.193,-0.158,6869,58112,82956
0.693,880.43213,944.51904,1700.89722,1820.44983,-0.04321,0.02539,0.99307,-0.088,0.14,-0.14,6869,58112,82956
0.693,880.43213,944.51904,1700.97351,1820.52612,-0.04126,0.02673,0.99503,-0.42,0.105,-0.315,6870,58113,82951
0.693,880.43213,944.51904,1700.89722,1821.13647,-0.04175,0.02698,0.99698,-0.665,0.175,-0.333,6870,58113,82951
0.693,880.50842,944.51904,1700.89722,1820.67871,-0.04077,0.02722,0.99771,-0.63,0.035,-0.578,6868,58108,82946
0.693,880.50842,944.51904,1700.66833,1820.90759,-0.04089,0.02881,0.99844,-0.63,0.053,-0.49,6868,58108,82946
0.703,880.50842,944.51904,1700.66833,1820.67871,-0.03723,0.0304,0.99539,-0.438,0.105,-0.193,6864,58105,82942
0.703,880.50842,944.51904,1700.66833,1820.755,-0.03735,0.03064,0.996,-0.63,0.228,-0.385,6864,58105,82942
0.703,880.50842,944.51904,1700.74463,1820.67871,-0.03967,0.03064,0.99747,-0.875,0.298,-0.175,6861,58104,82931
0.703,880.50842,944.44275,1700.97351,1821.21277,-0.03894,0.03027,0.99698,-0.98,0.28,-0.053,6861,58104,82931
0.703,880.50842,944.44275,1700.59204,1820.60242,-0.0398,0.02747,0.99734,-1.155,0.263,-0.07,6860,58105,82924
0.703,880.50842,944.44275,1701.20239,1821.13647,-0.04065,0.02405,0.99747,-1.155,0.228,-0.175,6860,58105,82924
0.703,880.50842,944.44275,1700.59204,1820.90759,-0.04199,0.02246,0.99661,-0.998,0.245,-0.175,6857,58101,82920
0.703,880.50842,944.44275,1700.59204,1820.60242,-0.0437,0.02429,0.99881,-0.788,0.158,-0.28,6857,58101,82920
0.703,880.58472,944.44275,1700.97351,1820.60242,-0.04382,0.02503,0.99844,-0.613,0.21,-0.543,6853,58098,82919
0.703,880.58472,944.44275,1700.36316,1820.8313,-0.04456,0.02625,0.99869,-0.298,0.28,-0.28,6853,58098,82919
0.703,880.58472,944.44275,1700.74463,1820.755,-0.0437,0.02918,0.99722,-0.28,0.245,-0.28,6850,58099,82916
0.703,880.58472,944.44275,1700.82092,1820.67871,-0.04053,0.03003,0.99503,-0.403,0.035,-0.368,6850,58099,82916
0.703,880.58472,944.44275,1700.82092,1820.60242,-0.03809,0.02857,0.99637,-0.7,0.158,-0.193,6851,58098,82915
0.703,880.58472,944.44275,1700.89722,1820.8313,-0.03894,0.02686,0.99649,-0.683,0.175,-0.543,6851,58098,82915
0.703,880.58472,944.44275,1700.74463,1820.60242,-0.03906,0.02698,0.9949,-0.543,0.088,-0.49,6850,58095,82912
0.703,880.58472,944.44275,1700.74463,1820.60242,-0.03687,0.02747,0.9949,-0.49,0.21,-0.403,6850,58095,82912
0.703,880.58472,944.44275,1700.82092,1820.60242,-0.03748,0.03137,0.99698,-0.543,0.245,-0.315,6848,58093,82912
