Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.975,916.67175,982.20825,1767.42554,1891.09802,-0.06958,-0.1388,0.99173,-3.098,0.858,-0.613,6397,54560,78379
0.975,916.67175,982.20825,1766.96777,1891.09802,-0.06983,-0.14087,0.99356,-3.273,0.788,-0.595,6397,54560,78379
0.975,916.67175,982.20825,1767.27295,1891.02173,-0.06861,-0.14234,0.99124,-3.29,0.84,-0.49,6397,54560,78379
0.975,916.67175,982.20825,1767.57812,1891.17432,-0.0697,-0.14185,0.99271,-3.133,0.788,-0.543,6402,54566,78380
0.975,916.67175,982.20825,1767.19666,1891.09802,-0.06983,-0.1427,0.991,-3.238,0.84,-0.595,6402,54566,78380
0.975,916.67175,982.28455,1767.19666,1891.09802,-0.06934,-0.14319,0.99454,-3.15,0.823,-0.403,6402,54568,78394
0.975,916.67175,982.28455,1767.34924,1890.86914,-0.06922,-0.14319,0.99307,-3.15,0.753,-0.438,6402,54568,78394
0.975,916.67175,982.28455,1767.12036,1891.09802,-0.07129,-0.14197,0.99222,-3.045,0.805,-0.648,6404,54572,78397
0.975,916.67175,982.28455,1766.96777,1891.09802,-0.07154,-0.14087,0.99295,-3.028,0.718,-0.508,6404,54572,78397
0.975,916.67175,982.28455,1767.50183,1890.94543,-0.07154,-0.14209,0.99149,-3.063,0.753,-0.473,6411,54572,78400
0.975,916.44287,982.28455,1767.27295,1890.79285,-0.07068,-0.14478,0.99039,-2.87,0.788,-0.49,6411,54574,78406
0.975,916.44287,982.28455,1766.96777,1890.48767,-0.06995,-0.14417,0.99136,-2.625,0.595,-0.368,6411,54574,78406
0.975,916.44287,982.28455,1767.42554,1891.09802,-0.06433,-0.13843,0.99222,-2.853,0.455,-0.525,6411,54574,78406
0.975,916.44287,982.28455,1767.19666,1891.25061,-0.06519,-0.13453,0.99503,-3.08,0.77,-0.613,6416,54576,78409
0.975,916.44287,982.28455,1767.19666,1891.09802,-0.06433,-0.13367,0.99295,-3.57,1.208,-0.648,6416,54576,78409
0.975,916.44287,982.13196,1767.27295,1890.94543,-0.06653,-0.13343,0.99637,-3.903,1.593,-0.473,6420,54577,78414
0.975,916.44287,982.13196,1766.81519,1890.94543,-0.07056,-0.13318,0.99442,-4.48,1.908,-0.368,6420,54577,78414
0.975,916.44287,982.13196,1767.19666,1890.94543,-0.07471,-0.13929,0.9921,-5.653,1.803,0.14,6423,54576,78419
0.975,916.44287,982.13196,1767.27295,1891.02173,-0.07434,-0.14417,0.99222,-6.003,1.453,0.123,6423,54576,78419
0.975,916.44287,982.13196,1767.04407,1891.02173,-0.07166,-0.14869,0.99161,-5.793,1.138,0.21,6425,54578,78419
0.975,916.51917,982.13196,1767.12036,1891.17432,-0.06922,-0.15198,0.99246,-5.495,1.033,0.263,6425,54578,78419
0.975,916.51917,982.13196,1767.19666,1890.86914,-0.06738,-0.15271,0.99234,-5.338,1.05,0.228,6420,54576,78410
0.975,916.51917,982.13196,1767.04407,1891.02173,-0.06983,-0.15442,0.99197,-4.393,1.488,-0.35,6420,54576,78410
0.975,916.51917,982.13196,1767.04407,1890.94543,-0.073,-0.15613,0.99014,-3.798,1.68,-0.595,6412,54574,78394
