Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.609,866.08887,916.29028,1672.51587,1766.05225,-0.03565,-0.19642,0.98123,-1.26,0.543,-0.228,7504,59635,83106
0.609,866.08887,916.29028,1672.43958,1766.20483,-0.03613,-0.19593,0.97842,-1.348,0.525,-0.28,7504,59635,83106
0.609,866.39404,916.29028,1672.89734,1766.28113,-0.03748,-0.1963,0.98331,-1.435,0.595,-0.28,7506,59632,83095
0.609,866.39404,916.29028,1672.36328,1766.35742,-0.03967,-0.19666,0.98428,-1.575,0.648,-0.263,7506,59632,83095
0.609,866.39404,916.29028,1672.59216,1766.28113,-0.03784,-0.19837,0.98172,-1.61,0.578,-0.21,7497,59628,83084
0.609,866.39404,916.29028,1673.04993,1766.12854,-0.03735,-0.19935,0.98318,-1.663,0.473,-0.228,7497,59628,83084
0.609,866.39404,916.29028,1672.36328,1766.35742,-0.03589,-0.1991,0.98306,-1.68,0.543,-0.175,7492,59624,83080
0.609,866.39404,916.29028,1672.59216,1766.12854,-0.03601,-0.19642,0.98428,-1.383,0.473,-0.438,7492,59624,83080
0.609,866.39404,916.29028,1672.66846,1766.20483,-0.0354,-0.19691,0.98489,-1.435,0.508,-0.298,7490,59622,83076
0.609,866.39404,916.29028,1672.51587,1766.05225,-0.03467,-0.19715,0.98355,-1.453,0.525,-0.315,7490,59622,83076
0.609,866.39404,916.29028,1672.51587,1765.89966,-0.03638,-0.19739,0.98343,-1.383,0.49,-0.315,7487,59620,83070
0.609,866.39404,916.29028,1673.12622,1766.20483,-0.03638,-0.19813,0.98245,-1.558,0.525,-0.455,7487,59620,83070
0.609,866.16516,916.29028,1672.43958,1766.12854,-0.0354,-0.19813,0.98343,-1.715,0.648,-0.56,7483,59619,83067
0.609,866.16516,916.29028,1672.21069,1765.89966,-0.03748,-0.19886,0.98599,-1.418,0.508,-0.508,7483,59619,83067
0.609,866.16516,916.29028,1672.82104,1768.03589,-0.03687,-0.19727,0.98099,-1.348,0.525,-0.245,7478,59617,83062
0.609,866.16516,916.29028,1672.51587,1766.20483,-0.03479,-0.19581,0.98074,-1.295,0.35,-0.263,7478,59617,83062
0.609,866.16516,916.29028,1672.51587,1766.05225,-0.03748,-0.19459,0.9816,-1.278,0.473,-0.175,7476,59617,83065
0.609,866.16516,916.36658,1672.82104,1765.89966,-0.03882,-0.19263,0.98416,-1.558,0.525,0.088,7476,59617,83065
0.609,866.16516,916.36658,1672.36328,1766.20483,-0.03967,-0.19178,0.98355,-1.575,0.455,-0.035,7474,59619,83063
0.609,866.16516,916.36658,1672.59216,1765.97595,-0.03662,-0.19507,0.98294,-1.908,0.473,-0.158,7474,59619,83063
0.609,866.16516,916.36658,1673.04993,1765.89966,-0.03772,-0.19581,0.98514,-1.873,0.438,0.175,7476,59621,83062
0.609,866.16516,916.36658,1672.43958,1766.28113,-0.03601,-0.19947,0.98575,-1.855,0.473,-0.07,7476,59621,83062
0.609,866.16516,916.36658,1672.59216,1766.12854,-0.03455,-0.2002,0.98416,-1.82,0.42,-0.035,7476,59621,83063
0.609,866.16516,916.36658,1672.97363,1766.20483,-0.03418,-0.20081,0.98489,-1.435,0.49,0.07,7476,59621,83063
0.609,866.16516,916.36658,1672.51587,1766.12854,-0.03845,-0.19813,0.98685,-1.173,0.473,-0.193,7476,59615,83058
0.609,866.16516,916.36658,1672.36328,1766.43372,-0.03784,-0.19654,0.98209,-1.085,0.578,-0.193,7476,59615,83058
0.609,866.16516,916.36658,1673.20251,1766.51001,-0.0376,-0.19434,0.98135,-1.033,0.543,-0.245,7476,59617,83062
0.609,866.16516,916.29028,1672.51587,1766.28113,-0.03711,-0.19263,0.98148,-1.173,0.578,-0.263,7476,59617,83062
