Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.214,874.32861,957.33643,1686.70654,1843.56689,-0.06555,-0.0603,0.99747,-1.558,0.175,-0.14,6398,55163,79981
0.214,874.32861,957.33643,1687.08801,1843.56689,-0.06677,-0.06177,0.99954,-1.488,0.298,0.035,6390,55158,79979
0.214,874.32861,957.33643,1686.70654,1843.64319,-0.06812,-0.06189,0.99857,-1.278,0.298,-0.053,6390,55158,79979
0.214,874.32861,957.18384,1686.78284,1843.64319,-0.06848,-0.06067,0.99954,-1.068,0.403,-0.21,6385,55156,79973
0.214,874.32861,957.18384,1686.93542,1843.64319,-0.06885,-0.05994,1.00003,-0.788,0.263,0.018,6385,55156,79973
0.214,874.32861,957.18384,1686.78284,1843.71948,-0.0647,-0.05896,0.99954,-0.595,0.193,-0.298,6383,55156,79968
0.214,874.32861,957.18384,1686.63025,1843.56689,-0.06323,-0.05591,0.99747,-0.648,0.315,-0.368,6383,55156,79968
0.214,874.32861,957.18384,1687.31689,1843.56689,-0.06519,-0.05628,0.9982,-0.91,0.368,-0.403,6380,55157,79968
0.214,874.17603,957.18384,1686.63025,1843.87207,-0.06507,-0.05701,0.99759,-1.068,0.315,-0.368,6380,55157,79968
0.214,874.17603,957.18384,1686.70654,1843.4906,-0.0647,-0.05799,0.99954,-1.103,0.193,-0.245,6377,55154,79969
0.214,874.17603,957.18384,1687.16431,1843.56689,-0.06189,-0.05847,0.99808,-0.98,0.21,-0.245,6377,55154,79969
0.214,874.17603,957.18384,1686.85913,1843.41431,-0.06323,-0.05481,0.99661,-1.015,0.35,-0.35,6377,55154,79964
0.214,874.17603,957.18384,1686.93542,1843.4906,-0.06336,-0.05701,0.99673,-1.19,0.385,-0.193,6377,55154,79964
0.214,874.17603,957.33643,1686.93542,1843.56689,-0.06446,-0.05628,0.99796,-1.383,0.315,0.053,6374,55156,79968
0.214,874.17603,957.33643,1686.70654,1843.64319,-0.06446,-0.05823,0.99905,-1.155,0.35,0.123,6374,55156,79968
0.214,874.17603,957.33643,1686.85913,1843.64319,-0.06738,-0.05676,1.00015,-0.875,0.315,-0.07,6374,55156,79971
0.214,874.17603,957.33643,1687.16431,1843.64319,-0.06726,-0.05298,0.99722,-0.7,0.193,-0.245,6374,55156,79971
0.214,874.17603,957.33643,1686.78284,1843.71948,-0.06568,-0.05396,0.996,-0.805,0.193,-0.018,6373,55157,79970
0.214,874.25232,957.33643,1686.93542,1843.56689,-0.06446,-0.05432,0.99747,-1.19,0.21,-0.105,6373,55157,79970
0.214,874.25232,957.33643,1687.01172,1843.71948,-0.06507,-0.0564,0.99905,-1.54,0.228,-0.053,6376,55157,79971
0.214,874.25232,957.33643,1686.85913,1843.79578,-0.06433,-0.05896,0.99869,-1.54,0.228,0.105,6376,55157,79971
0.214,874.25232,957.33643,1686.78284,1843.71948,-0.0636,-0.05896,0.99673,-1.365,0.298,0.0,6378,55157,79972
0.214,874.25232,957.33643,1687.2406,1843.71948,-0.06226,-0.0575,0.99893,-1.418,0.228,0.07,6378,55157,79972
0.214,874.25232,957.03125,1686.93542,1843.71948,-0.0614,-0.05567,0.99869,-1.4,0.315,0.018,6379,55156,79967
0.214,874.25232,957.03125,1686.63025,1843.64319,-0.0647,-0.05603,1.0004,-1.4,0.333,0.0,6379,55156,79967
0.214,874.25232,957.03125,1686.85913,1843.71948,-0.06397,-0.05774,0.99905,-1.365,0.473,-0.018,6378,55154,79972
0.214,874.25232,957.03125,1686.70654,1843.71948,-0.0658,-0.05481,0.99747,-1.243,0.473,0.14,6378,55154,79972
0.214,874.25232,957.03125,1686.78284,1843.71948,-0.06677,-0.05469,0.99905,-1.26,0.35,0.14,6377,55152,79975
0.214,874.4812,957.03125,1687.01172,1843.71948,-0.06751,-0.05493,0.99796,-1.558,0.438,0.368,6377,55152,79975
0.214,874.4812,957.03125,1686.78284,1843.71948,-0.06714,-0.05676,0.99734,-1.838,0.403,0.123,6379,55155,79979
