Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.626,877.99072,958.25195,1695.25146,1846.08459,-0.0697,-0.02539,0.99551,-1.523,0.42,-0.123,6057,52545,73170
0.626,877.99072,958.25195,1695.25146,1846.08459,-0.07117,-0.02454,0.9938,-1.663,0.525,-0.368,6057,52545,73170
0.626,877.99072,958.25195,1695.70923,1846.0083,-0.06897,-0.02417,0.99307,-1.61,0.438,-0.298,6057,52549,73164
0.626,877.99072,958.40454,1695.25146,1846.08459,-0.06958,-0.02185,0.99576,-1.715,0.49,-0.088,6057,52549,73164
0.626,877.99072,958.40454,1695.17517,1846.16089,-0.07105,-0.02136,0.99649,-1.838,0.473,-0.228,6059,52550,73167
0.626,877.99072,958.40454,1695.86182,1846.08459,-0.06934,-0.02332,0.99466,-1.943,0.543,0.018,6059,52550,73167
0.626,877.99072,958.40454,1695.17517,1846.08459,-0.06946,-0.02466,0.9938,-2.1,0.543,-0.123,6060,52549,73167
0.626,877.99072,958.40454,1695.17517,1846.08459,-0.07105,-0.02405,0.99637,-2.275,0.578,-0.035,6060,52549,73167
0.626,878.06702,958.40454,1695.25146,1846.0083,-0.07056,-0.02539,0.99661,-2.293,0.718,-0.228,6061,52546,73168
0.626,878.06702,958.40454,1694.87,1846.08459,-0.07056,-0.02539,0.99661,-2.293,0.718,-0.228,6061,52546,73168
0.626,878.06702,958.40454,1695.09888,1846.0083,-0.07105,-0.02661,0.99442,-2.1,0.753,-0.018,6064,52550,73175
0.626,878.06702,958.40454,1695.25146,1846.0083,-0.06995,-0.02722,0.99539,-2.083,0.77,-0.263,6064,52550,73175
0.626,878.06702,958.40454,1695.02258,1846.08459,-0.07105,-0.02503,0.996,-1.943,0.77,-0.28,6065,52550,73171
0.626,878.06702,958.09937,1695.17517,1846.0083,-0.07227,-0.02527,0.99564,-2.03,0.84,-0.385,6065,52550,73171
0.626,878.06702,958.09937,1695.17517,1845.93201,-0.07422,-0.02588,0.99393,-2.188,0.858,-0.28,6068,52546,73176
0.626,878.06702,958.09937,1695.02258,1846.0083,-0.07398,-0.03003,0.99625,-1.768,0.228,-0.263,6068,52546,73176
0.626,878.06702,958.09937,1695.02258,1845.93201,-0.07019,-0.02734,0.99612,-1.348,0.158,-0.298,6069,52548,73180
0.626,878.06702,958.09937,1695.55664,1846.0083,-0.06665,-0.02344,0.99356,-1.348,0.193,-0.385,6069,52548,73180
0.626,877.83813,958.09937,1695.09888,1845.93201,-0.0658,-0.021,0.9938,-1.61,0.35,-0.298,6070,52550,73180
0.626,877.83813,958.09937,1694.87,1846.0083,-0.06726,-0.02136,0.9949,-1.995,0.63,-0.14,6070,52550,73180
0.626,877.83813,958.09937,1695.32776,1845.93201,-0.07166,-0.02478,0.99405,-2.345,0.98,-0.228,6072,52551,73180
0.626,877.83813,958.09937,1695.17517,1845.93201,-0.07349,-0.02747,0.9938,-2.345,0.77,-0.175,6072,52551,73180
0.626,877.83813,958.09937,1695.17517,1846.0083,-0.07373,-0.03088,0.99393,-2.188,0.648,-0.245,6073,52551,73185
0.626,877.83813,958.09937,1695.32776,1846.08459,-0.07385,-0.03064,0.9949,-1.838,0.368,-0.018,6073,52551,73185
0.626,877.83813,958.09937,1695.09888,1845.93201,-0.07239,-0.02783,0.99417,-1.75,0.158,0.07,6073,52550,73182
0.626,877.83813,958.09937,1695.25146,1845.93201,-0.06861,-0.02441,0.99319,-1.68,-0.053,-0.105,6073,52550,73182
