Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.133,905.76172,954.05579,1748.12317,1838.22632,-0.04639,0.01697,1.00284,-0.858,0.315,-0.315,6896,58903,84328
0.133,905.76172,954.05579,1748.65723,1838.22632,-0.04871,0.01672,1.00418,-0.578,0.228,-0.35,6896,58903,84328
0.133,905.76172,954.05579,1748.12317,1837.76855,-0.04859,0.01624,0.99747,-0.7,0.053,-0.525,6894,58907,84327
0.133,905.76172,954.05579,1748.27576,1838.37891,-0.04883,0.01233,0.98782,-1.015,0.07,-0.56,6894,58907,84327
0.133,906.14319,954.05579,1748.35205,1838.53149,-0.04968,0.01502,0.99893,-0.805,0.228,-0.805,6893,58906,84324
0.133,906.14319,954.05579,1747.97058,1838.60779,-0.05261,0.01953,1.00589,-0.42,0.368,-1.085,6893,58906,84324
0.133,906.14319,954.05579,1748.27576,1838.60779,-0.05042,0.0221,0.99808,-0.385,0.63,-1.068,6890,58905,84327
0.133,906.14319,954.05579,1748.42834,1838.37891,-0.0459,0.02368,0.99344,-0.508,0.263,-0.945,6890,58905,84327
0.133,906.14319,954.05579,1748.19946,1838.4552,-0.03723,0.02441,0.99661,-0.28,-0.315,-0.858,6890,58906,84326
0.133,906.14319,954.05579,1748.19946,1838.4552,-0.02661,0.02344,0.99832,0.123,-0.088,-0.858,6890,58906,84326
0.133,906.14319,954.05579,1748.35205,1838.4552,-0.026,0.02344,0.99832,0.123,-0.088,-0.858,6892,58906,84327
0.133,906.14319,954.05579,1748.12317,1838.53149,-0.02283,0.03333,0.99759,-0.28,0.298,-0.788,6892,58906,84327
0.133,906.14319,954.05579,1748.04688,1838.30261,-0.02124,0.03516,0.99771,-0.805,0.298,-0.648,6891,58906,84328
0.133,906.14319,954.05579,1748.27576,1838.22632,-0.02136,0.03247,0.99966,-1.803,0.175,0.245,6891,58906,84328
0.133,905.68542,954.05579,1748.27576,1838.15002,-0.02124,0.02918,1.00052,-2.45,0.28,0.035,6895,58908,84329
0.133,905.68542,954.05579,1747.66541,1838.37891,-0.02112,0.02625,0.99979,-2.59,0.473,0.088,6895,58908,84329
0.133,905.68542,954.05579,1748.27576,1838.53149,-0.03162,0.02979,1.00113,-1.663,0.77,0.595,6898,58911,84338
0.133,905.68542,954.05579,1748.04688,1838.4552,-0.03589,0.02844,0.99979,-1.96,0.718,0.788,6898,58911,84338
0.133,905.68542,954.05579,1747.97058,1838.53149,-0.04016,0.02356,0.99564,-2.608,0.665,0.945,6901,58909,84348
0.133,905.68542,954.05579,1748.27576,1838.4552,-0.04285,0.01856,0.9938,-3.08,0.63,1.068,6901,58909,84348
0.133,905.68542,954.05579,1747.89429,1838.53149,-0.04492,0.01538,0.99478,-2.975,0.7,0.858,6902,58912,84353
0.133,905.68542,954.05579,1748.12317,1838.4552,-0.04859,0.01318,0.99783,-2.45,0.683,0.63,6902,58912,84353
0.133,905.68542,954.05579,1748.42834,1838.53149,-0.05005,0.01038,1.0004,-2.153,0.56,0.49,6906,58915,84355
0.133,905.68542,954.05579,1748.19946,1838.68408,-0.04859,0.01196,1.00284,-1.575,0.245,0.7,6906,58915,84355
0.133,905.83801,954.05579,1748.35205,1838.60779,-0.04358,0.01318,1.00052,-1.103,0.14,0.473,6905,58911,84354
0.133,905.83801,954.05579,1748.42834,1838.07373,-0.04016,0.01733,1.00003,-0.998,0.193,0.14,6905,58911,84354
0.133,905.83801,954.05579,1748.19946,1838.37891,-0.03919,0.02051,0.99893,-0.753,0.385,0.228,6909,58911,84355
0.133,905.83801,954.05579,1748.19946,1837.76855,-0.03967,0.02149,0.99893,-0.858,0.525,-0.193,6909,58911,84355
0.133,905.83801,954.05579,1748.65723,1838.30261,-0.04248,0.02319,0.99942,-1.033,0.56,-0.35,6908,58916,84362
0.133,905.83801,954.05579,1748.27576,1839.29443,-0.04248,0.021,0.99564,-1.26,0.455,-0.385,6908,58916,84362
0.133,905.83801,954.05579,1748.04688,1838.4552,-0.04041,0.01917,0.99222,-1.558,0.385,-0.49,6913,58917,84361
0.133,905.83801,954.05579,1748.58093,1838.4552,-0.03674,0.01599,0.99808,-1.4,0.49,-0.578,6913,58917,84361
0.133,905.83801,954.05579,1748.12317,1838.53149,-0.03455,0.01624,0.99783,-1.523,0.473,-0.858,6917,58918,84358
0.133,905.83801,954.05579,1748.12317,1838.4552,-0.03577,0.01697,1.00003,-1.523,0.56,-0.945,6917,58918,84358
0.133,905.9906,954.05579,1748.42834,1838.07373,-0.03467,0.01733,1.00027,-1.61,0.525,-0.77,6920,58919,84364
0.133,905.9906,954.05579,1747.89429,1838.30261,-0.03369,0.02002,1.00345,-1.47,0.508,-1.155,6920,58919,84364
0.133,905.9906,954.05579,1748.19946,1837.99744,-0.03235,0.02246,1.00125,-1.435,0.613,-1.26,6921,58919,84369
0.133,905.9906,954.05579,1748.50464,1837.53967,-0.03601,0.02722,0.99673,-1.628,0.84,-1.208,6921,58919,84369
0.133,905.9906,954.05579,1748.19946,1838.22632,-0.03943,0.02283,1.00076,-2.135,0.84,-1.348,6923,58920,84368
0.133,905.9906,953.97949,1748.27576,1838.15002,-0.04187,0.0155,1.0004,-2.713,0.893,-1.558,6923,58920,84368
0.133,905.9906,953.97949,1748.42834,1838.22632,-0.04578,0.01038,1.00027,-2.923,0.928,-1.453,6930,58918,84373
0.133,905.9906,953.97949,1748.12317,1837.69226,-0.04492,0.01013,1.00015,-2.573,0.718,-1.4,6930,58918,84373
0.133,905.9906,953.97949,1748.27576,1837.61597,-0.03723,0.02161,0.99637,-1.785,0.543,-1.4,6935,58919,84370
0.133,905.9906,953.97949,1748.42834,1837.46338,-0.03406,0.02698,0.99368,-2.03,0.7,-1.383,6935,58919,84370
0.133,905.76172,953.97949,1748.35205,1837.61597,-0.03516,0.02759,0.99515,-2.713,0.84,-1.225,6936,58918,84369
0.133,905.76172,953.97949,1747.89429,1837.61597,-0.03845,0.02612,0.99905,-3.465,1.068,-1.47,6936,58918,84369
0.133,905.76172,953.97949,1748.50464,1837.92114,-0.03967,0.0221,1.00089,-3.71,1.068,-1.593,6936,58917,84370
0.133,905.76172,953.97949,1748.19946,1837.61597,-0.03833,0.01477,0.99844,-3.465,0.91,-1.348,6936,58917,84370
0.133,905.76172,953.97949,1748.27576,1837.76855,-0.03894,0.01257,0.99991,-2.853,0.753,-1.558,6938,58912,84360
0.133,905.76172,953.67432,1748.35205,1837.76855,-0.04053,0.01172,1.00418,-2.608,0.77,-1.663,6938,58912,84360
0.133,905.76172,953.67432,1748.19946,1837.84485,-0.04151,0.01025,1.00272,-2.17,0.84,-1.418,6936,58909,84345
0.133,905.76172,953.67432,1748.12317,1837.76855,-0.04028,0.01111,1.0004,-1.698,0.683,-1.33,6936,58909,84345
