Time(s),Uc1(mV),Uc2(mV),Ut1(mV),Ut2(mV),AccX(g),AccY(g),AccZ(g),GyroX(dps),GyroY(dps),GyroZ(dps),PPG_Green,PPG_Red,PPG_IR
0.639,890.35034,971.5271,1717.60559,1870.65125,-0.06885,0.03174,0.99734,-1.575,0.42,0.035,5874,52446,74795
0.639,890.35034,971.5271,1717.453,1870.65125,-0.06995,0.0282,0.99832,-1.523,0.385,0.035,5874,52446,74795
0.639,890.35034,971.5271,1717.37671,1870.72754,-0.07031,0.02612,0.99673,-1.488,0.403,0.053,5872,52444,74799
0.639,890.35034,971.5271,1717.5293,1870.72754,-0.06946,0.026,0.9949,-1.435,0.368,0.0,5873,52448,74800
0.639,890.35034,971.5271,1717.22412,1870.49866,-0.06946,0.02759,0.99551,-1.26,0.28,0.193,5873,52448,74800
0.639,890.35034,971.5271,1717.453,1870.57495,-0.0697,0.02918,0.99673,-1.138,0.193,-0.175,5873,52448,74800
0.639,890.35034,971.5271,1717.5293,1870.65125,-0.06909,0.02698,0.99637,-1.208,0.35,-0.07,5877,52448,74803
0.639,890.35034,971.5271,1717.37671,1870.72754,-0.06836,0.02881,0.99637,-1.243,0.245,-0.193,5877,52448,74803
0.639,890.42664,971.5271,1717.37671,1870.57495,-0.06836,0.02918,0.99551,-1.208,0.21,-0.088,5878,52445,74802
0.639,890.42664,971.5271,1717.5293,1870.65125,-0.06897,0.02966,0.99734,-1.103,0.193,-0.228,5878,52445,74802
0.639,890.42664,971.5271,1717.453,1870.72754,-0.06848,0.02954,0.99564,-1.208,0.228,-0.123,5879,52448,74808
0.639,890.42664,971.5271,1717.453,1870.72754,-0.06812,0.03101,0.99771,-1.243,0.263,-0.21,5879,52448,74808
0.639,890.42664,971.5271,1717.68188,1870.72754,-0.06909,0.03015,0.99759,-1.365,0.298,0.035,5882,52452,74817
0.639,890.42664,971.5271,1717.75818,1870.42236,-0.06812,0.03113,0.99734,-1.365,0.298,-0.14,5883,52452,74817
0.639,890.42664,971.5271,1717.14783,1870.65125,-0.06885,0.02991,0.99722,-1.575,0.438,-0.053,5883,52452,74817
0.639,890.42664,971.5271,1717.5293,1870.65125,-0.06824,0.02844,0.996,-1.75,0.473,0.0,5883,52452,74817
0.639,890.42664,971.5271,1717.37671,1870.72754,-0.06702,0.02783,0.996,-1.593,0.543,0.053,5888,52453,74823
0.639,890.42664,971.5271,1717.30042,1870.72754,-0.06775,0.02893,0.99625,-1.75,0.525,-0.018,5888,52453,74823
0.639,890.42664,971.5271,1717.5293,1870.65125,-0.06873,0.02686,0.99661,-1.82,0.455,0.14,5895,52453,74831
0.639,890.42664,971.5271,1717.14783,1870.80383,-0.06824,0.02625,0.99673,-1.803,0.525,0.053,5895,52453,74831
0.639,890.42664,971.5271,1717.22412,1870.65125,-0.07031,0.026,0.99649,-1.418,0.508,-0.245,5894,52455,74832
0.639,890.42664,971.5271,1717.453,1870.65125,-0.07068,0.02564,0.99661,-1.313,0.42,-0.105,5894,52455,74832
0.639,890.42664,971.5271,1717.30042,1870.72754,-0.07166,0.026,0.99747,-1.278,0.455,-0.175,5898,52455,74840
0.639,890.42664,971.45081,1717.30042,1870.72754,-0.0697,0.02612,0.99686,-1.085,0.403,-0.07,5898,52455,74840
0.639,890.42664,971.45081,1717.37671,1870.65125,-0.06958,0.02857,0.99747,-1.05,0.315,-0.14,5902,52459,74849
0.639,890.42664,971.45081,1717.22412,1870.49866,-0.0697,0.02918,0.99796,-0.928,0.315,-0.21,5902,52459,74849
0.639,890.42664,971.45081,1717.30042,1870.65125,-0.06861,0.02905,0.9971,-1.138,0.21,0.018,5905,52462,74855
0.639,890.42664,971.45081,1717.5293,1870.49866,-0.06861,0.0293,0.99588,-1.278,0.263,-0.245,5905,52462,74855
0.639,890.42664,971.45081,1717.68188,1870.65125,-0.06787,0.02747,0.99637,-1.418,0.245,-0.21,5910,52462,74860
0.639,890.42664,971.45081,1717.14783,1870.49866,-0.06763,0.02698,0.99625,-1.348,0.403,-0.14,5910,52462,74860
0.639,890.42664,971.45081,1717.5293,1870.42236,-0.06763,0.0271,0.9949,-1.278,0.438,-0.175,5913,52463,74861
0.639,890.42664,971.45081,1717.5293,1870.42236,-0.06824,0.02966,0.99649,-1.47,0.28,-0.123,5913,52463,74861
0.639,890.42664,971.45081,1717.5293,1870.57495,-0.06775,0.02857,0.99734,-1.453,0.368,-0.07,5916,52462,74867
0.639,890.42664,971.5271,1717.5293,1870.72754,-0.06922,0.03113,0.99661,-1.523,0.333,0.018,5916,52462,74867
0.639,890.42664,971.5271,1717.37671,1870.72754,-0.06946,0.03076,0.99478,-1.89,0.42,-0.105,5919,52466,74874
0.639,890.42664,971.5271,1717.37671,1870.72754,-0.06873,0.02795,0.99686,-1.82,0.385,0.07,5919,52466,74874
0.639,890.42664,971.5271,1717.68188,1870.80383,-0.06873,0.0271,0.99734,-1.925,0.49,0.228,5921,52466,74875
0.639,890.42664,971.5271,1717.30042,1870.65125,-0.07129,0.02698,0.99686,-1.96,0.49,-0.053,5921,52466,74875
0.639,890.35034,971.5271,1717.37671,1870.65125,-0.07007,0.02503,0.99332,-1.925,0.368,-0.018,5924,52466,74880
0.639,890.35034,971.5271,1717.37671,1870.65125,-0.06812,0.02356,0.99466,-1.873,0.21,0.14,5924,52466,74880
0.639,890.35034,971.5271,1717.37671,1870.72754,-0.06787,0.02136,0.99783,-1.488,0.14,0.123,5927,52464,74884
0.639,890.35034,971.5271,1717.22412,1870.72754,-0.06824,0.02612,0.99808,-1.383,0.403,-0.105,5927,52464,74884
0.639,890.35034,971.5271,1717.453,1870.65125,-0.06885,0.02893,0.996,-1.173,0.263,0.123,5927,52466,74882
0.639,890.35034,971.5271,1717.83447,1870.49866,-0.06897,0.03162,1.00027,-0.963,0.28,0.245,5927,52466,74882
0.639,890.35034,971.5271,1717.14783,1870.72754,-0.06946,0.03223,0.99454,-1.558,0.473,0.403,5931,52469,74890
0.639,890.35034,971.5271,1717.30042,1870.72754,-0.068,0.03357,0.99857,-2.153,0.42,0.28,5931,52469,74890
0.639,890.35034,971.5271,1717.30042,1870.80383,-0.06934,0.02637,0.99881,-2.45,0.455,0.368,5934,52466,74894
0.639,890.35034,971.5271,1717.22412,1870.65125,-0.07105,0.0188,0.99734,-1.943,0.543,-0.175,5934,52466,74894
0.639,890.42664,971.5271,1717.37671,1870.72754,-0.07215,0.01978,0.9982,-1.033,0.543,-0.035,5939,52469,74902
0.639,890.42664,971.5271,1716.91895,1870.80383,-0.06873,0.02161,0.99087,0.543,0.263,-0.228,5939,52469,74902
