dataset,sample,new_total_mae_bpm,baseline_total_mae_bpm,delta_total_mae_bpm,new_rest_mae_bpm,baseline_rest_mae_bpm,delta_rest_mae_bpm,new_motion_mae_bpm,baseline_motion_mae_bpm,delta_motion_mae_bpm,new_post60_mae_bpm,baseline_post60_mae_bpm,delta_post60_mae_bpm,new_post60_e10_count,new_post60_e20_count,new_post60_bounce_count,baseline_post60_e20_count,baseline_post60_bounce_count,acc_total_mae_bpm,acc_rest_mae_bpm,acc_motion_mae_bpm,acc_post60_mae_bpm,reset_fft_total_mae_bpm,reset_fft_rest_mae_bpm,reset_fft_motion_mae_bpm,trial_count,time_bias_s
HB,xiezi2,15.8867,16.2599,-0.37319999999999887,3.2562,3.8877,-0.6315,34.1307,34.1307,0.0,6.1683933353478135,7.456134389494633,-1.287741054146819,8,4,0,7,0,20.6739,5.2509,42.9515,10.235991345225214,5.6081,1.6055,11.3896,120,4.5
HB,xiezi3,16.1668,15.8611,0.3056999999999981,2.6217,2.8181,-0.19639999999999969,35.7522,34.7206,1.0316000000000045,3.73754130593149,3.955191345441988,-0.21765003951049788,4,4,0,1,0,8.7534,2.829,17.3199,4.140709144444886,6.3753,2.528,11.9384,120,5.5
YZY,bobi1,5.989,5.6833,0.30569999999999986,3.4711,2.7117,0.7593999999999999,10.9617,11.5522,-0.5904999999999987,7.401193082904204,5.862880214247514,1.53831286865669,13,10,0,7,0,8.439,3.4711,18.2506,7.401193082904204,25.2983,3.556,68.2393,120,5.5
YZY,bobi2,2.1842,2.4617,-0.27749999999999986,0.699,1.1092,-0.4102,5.6161,5.587,0.02910000000000057,0.8538112504898779,2.196601863991236,-1.342790613501358,0,0,0,0,0,8.3611,0.6932,26.0803,0.8372422400732104,17.3921,3.0097,50.6271,120,4.0
YZY,bobi3,3.6629,23.2225,-19.5596,0.7694,31.8572,-31.087799999999998,8.5752,8.5635,0.011700000000001154,1.1453258048659494,54.30152159574877,-53.15619579088282,0,0,0,53,0,5.5487,0.9661,13.3285,1.6239144740835003,33.9486,33.5692,34.5927,120,4.0
YZY,jianpan1,4.5765,4.5355,0.04100000000000037,1.6921,1.7723,-0.08020000000000005,8.3262,8.1276,0.19860000000000078,2.4743497350709474,3.1396251398701427,-0.6652754047991953,0,0,0,0,0,25.8241,3.4961,54.8505,6.643585180805572,5.3819,1.6264,10.2641,120,5.0
YZY,jianpan2,9.3117,9.2207,0.0909999999999993,3.9999,3.9807,0.019199999999999662,16.7482,16.5566,0.1916000000000011,5.5842100983927185,6.559856209642891,-0.9756461112501729,3,3,0,5,0,13.3904,4.7078,25.5461,7.165618010626761,5.3096,3.0639,8.4535,120,4.0
YZY,jianpan3,2.9329,2.841,0.09189999999999987,1.7439,1.5771,0.16680000000000006,4.3928,4.3928,0.0,1.8407934409431637,1.4646160572314346,0.37617738371172904,0,0,0,0,0,3.8605,1.6797,6.5381,1.6960624961189181,3.531,1.4543,6.0808,120,6.0
YZY,kaihe1,1.9439,2.0731,-0.1292000000000002,0.6226,0.8321,-0.2094999999999999,4.0716,4.0716,0.0,0.5295370468699673,0.9769721003406692,-0.4474350534707019,0,0,0,0,0,6.2086,0.6226,15.2041,0.5295370468699673,12.5743,2.4216,28.9241,120,4.0
YZY,kaihe2,3.7427,3.5955,0.14720000000000022,1.2127,0.9158,0.29689999999999994,9.4445,9.635,-0.1905000000000001,1.5130686612307869,0.6986583963005588,0.8144102649302281,1,0,0,0,0,7.0198,1.3771,19.7371,1.9267277895422894,12.9536,3.3153,34.6758,120,4.0
YZY,kaihe3,6.1973,23.6793,-17.482,1.697,27.6667,-25.9697,15.4666,15.4666,0.0,1.6956478362965344,50.038062105376625,-48.34241426908009,0,0,0,55,0,2.5095,1.8762,3.814,2.1076595550465345,38.1303,29.5487,55.8058,120,4.5
YZY,run1,10.1058,10.5063,-0.4004999999999992,3.3128,4.198,-0.8852000000000002,15.7195,15.7195,0.0,5.273829139706485,7.060003850873406,-1.7861747111669217,4,4,0,7,0,20.2431,9.7181,28.9409,17.97773460843649,20.1384,3.018,34.2865,120,6.0
YZY,run2,4.6114,4.2736,0.33779999999999966,2.397,2.428,-0.03100000000000014,6.711,6.0372,0.6738,3.7008542860070412,3.819437855369513,-0.11858356936247194,0,0,0,0,0,6.3446,2.4746,10.0139,3.8665461303161566,25.2801,3.8643,45.5855,120,6.0
YZY,run3,4.6066,4.6527,-0.04610000000000003,1.733,1.8342,-0.10119999999999996,7.0014,7.0014,0.0,2.3723797920682586,2.562940604263662,-0.19056081219540344,0,0,0,0,0,13.0084,3.5919,20.8555,6.090200392990992,13.6999,2.8658,22.7283,120,6.0
YZY,run4,6.1592,6.0506,0.10860000000000003,3.7824,3.5756,0.20679999999999987,8.4145,8.3991,0.015399999999999636,7.143246354371805,6.519914432168192,0.6233319222036133,13,5,0,4,0,6.5059,3.7554,9.1158,7.084717708538472,24.633,4.0666,44.1486,120,6.0
YZY,tiaosheng1,3.0252,3.1762,-0.15100000000000025,1.8259,2.0502,-0.22429999999999972,5.4924,5.4924,0.0,2.1252021242683754,2.7379319199772416,-0.6127297957088662,0,0,0,0,0,4.5187,1.8307,10.0482,2.1368232180183755,17.2582,3.8076,44.928,120,5.0
YZY,tiaosheng2,3.7265,3.6929,0.033600000000000296,2.1568,2.105,0.05180000000000007,6.6041,6.6041,0.0,3.6086422389845785,3.457502987155911,0.1511392518286674,6,0,0,0,0,4.9945,2.1568,10.1968,3.6086422389845785,12.5836,3.3023,29.5992,120,6.0
YZY,tiaosheng3,3.0922,3.0739,0.018299999999999983,1.4133,1.3845,0.028799999999999937,6.0361,6.0361,0.0,1.5641997728380639,1.649752159202731,-0.08555238636466722,0,0,0,0,0,5.5586,1.4147,12.8245,1.567259668671398,19.6201,3.1346,48.5264,120,5.5
YZY,xiezi1,2.6627,2.5455,0.11719999999999997,1.6814,1.4815,0.19989999999999997,4.0529,4.0529,0.0,2.226225378724959,1.7923773777408527,0.43384800098410614,0,0,0,0,0,34.7362,6.5622,74.6495,12.818633249428439,6.4498,2.4442,12.1244,120,6.0
YZY,xiezi2,3.0647,3.0275,0.037200000000000344,1.6448,1.5809,0.06390000000000007,5.0368,5.0368,0.0,1.5575760520307287,1.4186175771665963,0.13895847486413238,0,0,0,0,0,10.0017,1.6434,21.6106,1.554476527574207,6.0141,1.5405,12.2273,120,5.0
YZY,xiezi3,3.72,3.8689,-0.1488999999999998,2.7076,2.9596,-0.2520000000000002,5.1809,5.1809,0.0,3.7115864057419987,4.264876994492838,-0.5532905887508397,4,4,0,5,0,6.0008,2.9897,10.3454,4.331011009237234,7.019,2.1348,14.0662,120,5.5
