dataset,samples,new_total_mean_bpm,baseline_total_mean_bpm,delta_total_mean_bpm,delta_total_median_bpm,total_improved_count,total_regressed_count,total_delta_wilcoxon_p,new_rest_mean_bpm,baseline_rest_mean_bpm,new_motion_mean_bpm,baseline_motion_mean_bpm,new_post60_mean_bpm,baseline_post60_mean_bpm,delta_post60_mean_bpm,delta_post60_median_bpm,post60_improved_count,post60_regressed_count,post60_delta_wilcoxon_p,post60_lt3_count,post60_lt5_count,post60_ge10_count,post60_e20_total,post60_bounce_total,acc_total_mean_bpm,acc_rest_mean_bpm,acc_motion_mean_bpm,acc_post60_mean_bpm,reset_fft_total_mean_bpm,reset_fft_rest_mean_bpm,reset_fft_motion_mean_bpm
HB,24,4.896866666666667,7.5395,-2.642633333333333,0.0343,11,13,0.5087660551071167,1.8000666666666667,5.205983333333333,9.770666666666665,10.5829,2.538183900837185,7.410856198565132,-4.872672297727949,-0.06132788285346058,12,12,0.1688096523284912,18,22,0,17,0,10.452929166666665,3.0064375,22.480537499999997,5.297890776492047,16.6464,9.749045833333334,27.3043625
YZY,19,4.490284210526315,6.4305631578947375,-1.940278947368421,0.033600000000000296,8,11,0.6225624084472656,2.0296157894736844,5.053699999999999,8.097500000000002,8.079647368421053,2.9642988685161282,8.448534181113727,-5.4842353125975976,-0.19056081219540344,12,7,0.168792724609375,12,15,0,26,0,10.161800000000001,2.896178947368421,20.62896842105263,4.787767612014068,16.16925789473684,5.881252631578947,31.88861052631579
ALL,43,4.717213953488372,7.04950465116279,-2.332290697674418,0.033600000000000296,19,24,0.4328350866492201,1.9014953488372095,5.138695348837209,9.03136046511628,9.476811627906978,2.726467258648811,7.869365074574977,-5.1428978159261645,-0.19056081219540344,24,19,0.04358023555505497,30,37,0,43,0,10.32429069767442,2.9577186046511628,21.662402325581397,5.072487517769219,16.43556976744186,8.04002093023256,29.329960465116276
