freq_hz,bpm,raw_amp_norm,filtered_amp_norm,penalized_amp_norm,penalty_weight,is_penalty_band,nominal_penalty_band,actual_penalty_band,protection_band
0.50048828125,30.029296875,0.08371105185838543,0.06608643391717024,0.12626730852893756,1.0,0.0,0.0,0.0,0.0
0.506591796875,30.3955078125,0.08669563425731959,0.06818046120685957,0.1302682384351663,1.0,0.0,0.0,0.0,0.0
0.5126953125,30.76171875,0.08940547234298005,0.07071185817429916,0.13510482384235478,1.0,0.0,0.0,0.0,0.0
0.518798828125,31.1279296875,0.09182592712045459,0.07372268982851747,0.14085743579125135,1.0,0.0,0.0,0.0,0.0
0.52490234375,31.494140625,0.09394918655596911,0.077243614415882,0.14758465111863747,1.0,0.0,0.0,0.0,0.0
0.531005859375,31.8603515625,0.09577439284727296,0.0812894601211866,0.15531480113055154,1.0,0.0,0.0,0.0,0.0
0.537109375,32.2265625,0.09730765972954573,0.08585652124486749,0.16404080557341655,1.0,0.0,0.0,0.0,0.0
0.543212890625,32.5927734375,0.09856197655150299,0.09092176085623944,0.17371864919233101,1.0,0.0,0.0,0.0,0.0
0.54931640625,32.958984375,0.0995569980373922,0.09644370511248877,0.18426909045168718,1.0,0.0,0.0,0.0,0.0
0.555419921875,33.3251953125,0.1003187209824272,0.10236456702334953,0.1955817192824834,1.0,0.0,0.0,0.0,0.0
0.5615234375,33.69140625,0.10087905150443088,0.10861308243581941,0.2075203756249187,1.0,0.0,0.0,0.0,0.0
0.567626953125,34.0576171875,0.10127526880259617,0.11510762896970006,0.219929108587827,1.0,0.0,0.0,0.0,0.0
0.57373046875,34.423828125,0.10154939356881655,0.12175934717558068,0.23263813985439777,1.0,0.0,0.0,0.0,0.0
0.579833984375,34.7900390625,0.1017474711680226,0.12847512560137098,0.24546956706628317,1.0,0.0,0.0,0.0,0.0
0.5859375,35.15625,0.10191878135705058,0.1351604149586769,0.2582427406792242,1.0,0.0,0.0,0.0,0.0
0.592041015625,35.5224609375,0.10211498755524398,0.14172189644479433,0.2707793621627333,1.0,0.0,0.0,0.0,0.0
0.59814453125,35.888671875,0.10238923944283351,0.14807005499645015,0.28290840055867983,1.0,0.0,0.0,0.0,0.0
0.604248046875,36.2548828125,0.10279524292073537,0.1541217124597541,0.2944709324542299,1.0,0.0,0.0,0.0,0.0
0.6103515625,36.62109375,0.10338631127142309,0.15980256851192157,0.30532499676562175,1.0,0.0,0.0,0.0,0.0
0.616455078125,36.9873046875,0.10421441086923369,0.1650497847836588,0.3153505320628042,1.0,0.0,0.0,0.0,0.0
0.62255859375,37.353515625,0.10532921425005999,0.16981463244250938,0.3244544351450548,1.0,0.0,0.0,0.0,0.0
0.628662109375,37.7197265625,0.10677717306190797,0.17406520507725318,0.33257574438332504,1.0,0.0,0.0,0.0,0.0
0.634765625,38.0859375,0.10860062362730599,0.17778917443470799,0.3396909049380526,1.0,0.0,0.0,0.0,0.0
0.640869140625,38.4521484375,0.11083693863729543,0.18099653197619797,0.34581900688347633,1.0,0.0,0.0,0.0,0.0
